playerID,year,tmID,team_wins_prev_year,team_losses_prev_year,team_rank_prev_year,num_teammates_prev_year,avg_teammate_points_prev,avg_teammate_rebounds_prev,avg_teammate_assists_prev,avg_teammate_minutes_prev,avg_teammate_per_min_prev,max_teammate_points_prev,max_teammate_total_prev,avg_teammate_total_prev,std_teammate_total_prev,top3_avg_total_prev,team_weighted_per_min_prev,pos,height,weight,RotY_winner
abrossv01w,2,MIN,15,17,6,13,168.69230769230768,66.92307692307692,38.07692307692308,494.2307692307692,0.25366481581774036,646,829,273.6923076923077,276.4737433631461,697.6666666666666,0.3413229571984436,F,74.0,169.0,0
adamsjo01w,4,MIN,10,22,8,12,140.75,60.833333333333336,34.583333333333336,454.3333333333333,0.2759585358589727,512,683,236.16666666666666,198.81322131512525,517.6666666666666,0.3097945707997065,C,75.0,180.0,0
aguilel01w,3,UTA,19,13,3,12,183.91666666666666,89.16666666666667,43.666666666666664,539.5833333333334,0.2572642926636363,439,802,316.75,284.0531720390648,670.3333333333334,0.3408494208494208,G,67.0,165.0,0
ajavoma01w,9,HOU,13,21,5,15,165.86666666666667,74.4,36.86666666666667,446.53333333333336,0.3330079346531829,639,962,277.1333333333333,263.0485741853629,709.6666666666666,0.3714541654225142,G,68.0,160.0,0
alhalta01w,2,ORL,16,16,3,13,169.84615384615384,71.15384615384616,36.38461538461539,500.0,0.29237333691505907,438,736,277.38461538461536,289.2465898564575,693.0,0.3396923076923077,F-G,72.0,149.0,0
allench01w,9,SAC,19,15,3,12,194.25,93.91666666666667,42.25,535.4166666666666,0.31712323935373926,436,697,330.4166666666667,243.3125406226371,634.6666666666666,0.3628015564202335,G,71.0,135.0,0
amachma01w,2,NYL,20,12,1,13,165.23076923076923,72.3076923076923,36.69230769230769,494.2307692307692,0.3165775122449202,427,702,274.2307692307692,252.436511439396,605.0,0.33431906614785994,F,73.0,175.0,0
ambermo01w,3,SAC,20,12,2,13,176.46153846153845,84.38461538461539,42.92307692307692,501.9230769230769,0.3746424144888399,518,929,303.7692307692308,267.23122130661613,657.6666666666666,0.3515708812260536,F,76.0,169.0,0
anderam01w,7,NYL,18,16,3,15,154.4,64.93333333333334,33.2,461.6666666666667,0.24690730143374498,473,733,252.53333333333333,266.60186117308405,638.3333333333334,0.3344404332129964,F,72.0,167.0,0
anderch01w,4,SAC,14,18,6,14,154.71428571428572,67.78571428571429,35.714285714285715,469.64285714285717,0.27243415776089924,469,697,258.2142857142857,232.10017020887557,558.0,0.3294296577946768,C,78.0,190.0,0
anderjo01w,9,CON,18,16,3,13,205.76923076923077,94.0,47.61538461538461,532.6153846153846,0.3081194109187197,577,860,347.38461538461536,292.0655002054443,787.3333333333334,0.3863373772385904,G,68.0,166.0,0
anosini01w,9,MIN,10,24,6,12,210.0,89.25,47.833333333333336,531.4166666666666,0.34056750637519556,769,984,347.0833333333333,289.31375178117094,740.0,0.3951701427003293,C,75.0,211.0,0
atkinla01w,7,IND,21,13,2,12,180.83333333333334,84.33333333333333,41.083333333333336,577.0833333333334,0.28300884425890777,501,908,306.25,250.7491049562563,630.3333333333334,0.3133574007220217,G-F,72.0,172.0,0
atunrmo01w,9,SAS,20,14,2,10,200.0,93.2,50.0,582.8,0.3055349202684904,553,797,343.2,269.4767769833485,677.3333333333334,0.34317089910775567,G-F,70.0,143.0,0
augusse01w,7,MIN,14,20,6,15,134.26666666666668,56.93333333333333,32.8,406.1333333333333,0.2533381216250998,382,654,224.0,207.69964578001296,519.0,0.33059750492449114,F,72.0,179.0,1
azizle01w,4,IND,16,16,4,13,161.30769230769232,72.92307692307692,34.38461538461539,494.2307692307692,0.2836122021927682,594,988,268.61538461538464,269.9927586873206,693.0,0.32638132295719846,F,75.0,177.0,0
bakersh01w,7,NYL,18,16,3,15,154.4,64.93333333333334,33.2,461.6666666666667,0.24690730143374498,473,733,252.53333333333333,266.60186117308405,638.3333333333334,0.3344404332129964,G,68.0,125.0,0
balesal01w,8,IND,21,13,3,12,202.91666666666666,91.16666666666667,41.75,570.8333333333334,0.3282516697691639,528,880,335.8333333333333,289.92846557645066,734.6666666666666,0.3554744525547445,C,79.0,218.0,0
baranel01w,2,MIA,13,19,6,13,140.84615384615384,73.84615384615384,31.923076923076923,498.0769230769231,0.2717897380240389,396,594,246.6153846153846,170.82180699076372,494.0,0.28277992277992275,F,77.0,182.0,0
barksla01w,2,POR,10,22,7,12,179.58333333333334,78.0,40.0,543.75,0.3131000662441037,538,711,297.5833333333333,202.9094999045514,563.6666666666666,0.3302681992337165,G,70.0,156.0,0
batkosu01w,6,SEA,20,14,2,12,203.08333333333334,88.25,46.0,568.75,0.3195761526400103,634,892,337.3333333333333,297.8170070646902,739.0,0.35706959706959707,C,76.0,203.0,0
batteja01w,6,MIN,18,16,3,12,159.25,70.91666666666667,40.666666666666664,489.3333333333333,0.31282980485885303,432,651,270.8333333333333,189.62778533141437,527.3333333333334,0.32544277929155313,F,73.0,163.0,0
battlas01w,6,SEA,20,14,2,12,203.08333333333334,88.25,46.0,568.75,0.3195761526400103,634,892,337.3333333333333,297.8170070646902,739.0,0.35706959706959707,F,72.0,170.0,0
beardal01w,5,WAS,9,25,7,14,166.42857142857142,77.5,40.57142857142857,491.07142857142856,0.29707093305159066,554,937,284.5,280.27973663686566,706.0,0.3389090909090909,G-F,71.0,160.0,0
beckki01w,9,SEA,17,17,4,14,195.28571428571428,83.14285714285714,38.07142857142857,487.64285714285717,0.30898260447155607,739,1079,316.5,318.64611429271525,798.3333333333334,0.40046872711293396,G,68.0,125.0,0
