playerID,year,minutes,points,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,team_wins,team_losses,conference_rank,playoff_made,confID
banchrh01w,1,21,6,3,1,0,0,2,3,7,2,4,2,21,11,3,1,1
baranel01w,2,984,378,191,63,33,57,62,81,330,141,71,66,20,12,3,1,0
baranel01w,4,850,278,181,64,36,43,62,69,257,107,35,31,16,18,6,0,0
baranel01w,5,1048,394,246,67,37,58,80,88,315,146,53,49,18,16,2,1,0
baranel01w,6,953,288,227,59,25,46,59,79,236,104,55,47,18,16,3,1,0
barksla01w,2,35,2,6,4,2,0,1,3,10,1,0,0,11,21,7,0,1
barksla01w,3,285,100,40,12,8,7,23,31,101,36,26,23,16,16,5,0,1
barksla01w,4,168,59,33,5,1,3,10,21,79,21,2,2,12,22,6,0,1
barnead01w,1,18,8,2,4,0,0,2,2,5,3,4,2,17,15,2,1,0
barnead01w,2,3,2,1,0,0,0,0,0,1,1,0,0,22,10,1,1,0
barnead01w,3,493,90,102,28,32,9,25,64,111,37,29,15,17,15,4,1,1
barnead01w,4,396,88,65,23,11,7,18,36,84,32,21,12,18,16,5,0,1
barnead01w,5,402,67,63,31,23,2,24,38,69,21,31,22,20,14,2,1,1
barnequ01w,1,705,209,84,33,19,33,62,103,213,89,56,30,6,26,8,0,1
barnequ01w,2,229,68,34,11,9,6,16,29,59,23,27,21,10,22,8,0,1
barnequ01w,3,13,3,1,0,1,2,0,1,7,0,4,3,11,21,7,0,1
batkosu01w,6,461,199,94,26,17,24,32,85,174,76,58,45,20,14,2,1,1
batkosu01w,10,147,47,29,4,5,6,24,29,43,21,8,2,20,14,2,1,1
batteja01w,6,46,0,5,3,0,1,3,4,6,0,0,0,14,20,6,0,1
batteja01w,7,178,36,25,7,2,3,4,21,54,15,7,4,23,11,2,1,0
battlas01w,6,8,2,2,0,0,0,1,1,2,1,0,0,20,14,2,1,1
battlas01w,7,455,143,62,29,31,3,38,32,141,54,25,20,11,23,5,0,0
battlas01w,8,757,252,126,56,35,2,48,50,244,89,58,45,16,18,4,1,0
battlas01w,9,336,121,53,24,15,1,28,26,98,37,50,36,19,15,3,1,0
battlas01w,10,548,177,85,40,31,2,52,48,148,63,46,32,13,21,7,0,0
bauerca01w,1,398,76,56,14,8,3,28,72,72,29,21,18,8,24,8,0,0
bauerca01w,2,102,15,18,3,2,1,6,12,17,5,10,5,10,22,8,0,0
bauerca01w,3,233,43,41,1,2,5,25,34,57,17,15,9,14,18,6,0,1
beardal01w,5,1025,446,143,91,69,34,80,98,380,159,149,107,17,17,4,1,0
beardal01w,6,1015,422,130,90,45,9,63,87,408,155,105,80,16,18,5,0,0
beardal01w,7,994,614,149,98,59,25,90,92,469,232,149,113,18,16,4,1,0
beardal01w,8,1169,622,139,99,64,24,94,105,539,224,150,127,16,18,5,0,0
beardal01w,9,1092,532,118,117,55,19,106,111,474,187,146,107,10,24,6,0,0
beardal01w,10,985,492,123,68,72,18,100,97,438,188,114,84,16,18,4,1,0
beckki01w,9,93,17,12,6,4,2,4,7,9,4,6,5,22,12,2,1,1
bennije01w,6,52,9,6,4,1,1,4,5,8,3,4,3,21,13,2,1,0
berezva01w,9,6,0,0,0,0,0,0,2,2,0,0,0,24,10,1,1,1
berthlu01w,3,16,8,4,0,0,0,0,5,7,3,4,2,10,22,7,0,0
berthlu01w,4,201,84,42,6,10,4,22,38,52,27,46,30,17,17,4,1,0
berthlu01w,5,134,37,27,4,6,2,9,28,34,12,18,13,13,21,6,0,1
beviltu01w,1,796,153,95,89,41,6,66,93,112,40,72,56,10,22,7,0,1
beviltu01w,2,788,153,88,103,59,6,52,102,119,39,71,52,11,21,7,0,1
beviltu01w,3,421,84,33,44,22,3,27,49,61,25,29,19,16,16,5,0,1
beviltu01w,4,252,58,26,32,14,1,20,30,51,17,21,16,18,16,5,0,1
beviltu01w,5,358,79,26,29,38,2,26,48,60,24,29,20,20,14,2,1,1
beviltu01w,6,873,194,63,80,60,0,51,69,162,63,44,24,21,13,2,1,0
beviltu01w,7,999,223,77,79,71,1,54,72,185,76,53,38,21,13,3,1,0
beviltu01w,8,901,180,75,92,56,2,53,88,150,66,22,15,21,13,2,1,0
beviltu01w,9,876,175,68,65,59,4,35,73,158,64,28,17,17,17,4,1,0
beviltu01w,10,861,209,79,97,62,8,48,76,181,68,54,36,22,12,1,1,0
bibbyje01w,1,69,19,5,11,3,0,12,9,18,3,13,11,20,12,1,1,0
bibrzag01w,5,465,159,28,40,21,7,32,38,151,55,26,23,9,25,7,0,1
bibrzag01w,7,751,361,66,48,26,12,47,49,311,130,53,46,13,21,6,0,1
birdsu01w,3,1121,461,83,191,55,3,109,48,375,151,112,102,17,15,4,1,1
birdsu01w,4,1136,420,113,221,48,1,110,47,368,155,69,61,18,16,5,0,1
birdsu01w,5,1136,439,106,184,51,5,87,48,326,151,85,73,20,14,2,1,1
birdsu01w,6,1020,364,72,176,29,6,87,46,294,130,69,59,20,14,2,1,1
birdsu01w,7,1065,389,102,162,61,5,88,60,333,137,68,59,18,16,4,1,1
birdsu01w,8,919,303,57,143,43,8,67,46,276,118,26,22,17,17,4,1,1
birdsu01w,9,1111,465,84,169,39,3,88,61,390,172,85,74,22,12,2,1,1
birdsu01w,10,1101,397,78,179,47,3,81,50,377,154,41,35,20,14,2,1,1
bjorkte01w,5,13,2,0,0,0,0,1,1,3,1,0,0,16,18,5,0,0
blackch01w,10,428,97,107,6,13,27,25,54,92,35,43,27,16,18,6,0,0
blackde01w,1,820,152,92,98,58,1,50,86,150,57,42,29,13,19,6,0,0
blackde01w,2,946,180,126,123,82,2,51,69,187,70,48,37,20,12,3,1,0
blackde01w,3,899,153,123,137,59,5,32,75,160,64,33,25,15,17,6,0,0
blackde01w,4,373,55,51,46,20,2,18,33,68,24,9,6,18,16,3,1,0
blackde01w,5,347,55,36,47,19,0,15,35,56,26,4,3,18,16,1,1,0
blodgci01w,1,133,52,9,3,8,1,13,9,50,20,6,4,21,11,3,1,1
blodgci01w,2,72,34,9,6,6,1,11,6,29,13,0,0,20,12,2,1,1
blueni01w,7,181,54,20,36,18,0,18,36,54,14,31,25,18,16,4,1,0
