playerID,tmID,minutes,Game_Score_Total,Game_Score_Per_Minute,Team_Weighted_Score,Bench_Fraction,Sixth_Woman,year
abrossv01w,MIN,724,159.99999999999997,0.2209944751381215,0.268423246683591,0.8823338209003738,0,7
anderam01w,CON,10,0.8999999999999999,0.09,0.3344753968762758,0.9985371562317145,0,7
anderch01w,SAS,414,97.2,0.23478260869565218,0.2721819738617947,0.9263345195729538,0,7
atkinla01w,IND,417,68.19999999999999,0.1635491606714628,0.29138020925636543,0.9391240875912409,0,7
augusse01w,MIN,1124,435.2,0.3871886120996441,0.268423246683591,0.8173248821712986,0,7
bakersh01w,NYL,614,131.20000000000002,0.2136807817589577,0.22727063125007568,0.910586864715305,0,7
batteja01w,DET,178,12.300000000000004,0.06910112359550565,0.28618917239824226,0.9734526472781506,0,7
battlas01w,NYL,455,90.29999999999998,0.1984615384615384,0.22727063125007568,0.9337410805300713,0,7
beardal01w,WAS,994,436.30000000000007,0.438933601609658,0.3080412297977739,0.8548905109489051,0,7
beviltu01w,IND,999,189.2,0.18938938938938937,0.29138020925636543,0.8541605839416059,0,7
bibrzag01w,SAS,751,217.69999999999993,0.28988015978695064,0.2721819738617947,0.8663701067615659,0,7
birdsu01w,SEA,1065,313.20000000000005,0.2940845070422536,0.35262743245978967,0.8387096774193549,0,7
blueni01w,WAS,181,39.00000000000001,0.21546961325966854,0.3080412297977739,0.9735766423357665,0,7
bondla01w,CHA,614,95.59999999999997,0.15570032573289896,,0.91003663003663,0,7
braxtka01w,DET,359,64.49999999999996,0.17966573816155976,0.28618917239824226,0.9464578672632364,0,7
brownco01w,CHI,252,25.099999999999994,0.09960317460317458,0.24309053296628214,0.9645918223970774,0,7
browned01w,HOU,28,1.4000000000000004,0.05000000000000001,0.2852870563341688,0.9958233890214797,0,7
brownki01w,NYL,58,13.7,0.23620689655172414,0.22727063125007568,0.9915538080675695,0,7
brungje01w,CON,7,-1.0,-0.14285714285714285,0.3344753968762758,0.9989760093622001,0,7
brunsre01w,SAC,597,179.90000000000003,0.3013400335008376,0.2773959550907027,0.895446584938704,0,7
burseja01w,SEA,737,213.2,0.289280868385346,0.35262743245978967,0.8883840678479479,0,7
byearla01w,WAS,330,57.8,0.17515151515151514,0.3080412297977739,0.9518248175182482,0,7
cantydo01w,HOU,431,122.49999999999997,0.28422273781902546,0.2852870563341688,0.9357100238663485,0,7
careyja01w,CON,286,39.20000000000001,0.1370629370629371,0.3344753968762758,0.9581626682270333,0,7
cashsw01w,DET,990,223.39999999999998,0.22565656565656564,0.28618917239824226,0.8523489932885906,0,7
castriz01w,SEA,655,151.7,0.23160305343511448,0.35262743245978967,0.9008026654550961,0,7
catchta01w,IND,1071,477.5999999999999,0.44593837535013997,0.29138020925636543,0.8436496350364964,0,7
choneka01w,SEA,16,-4.0,-0.25,0.35262743245978967,0.9975768590034833,0,7
chriska01w,HOU,141,1.0,0.0070921985815602835,0.2852870563341688,0.9789677804295943,0,7
chrissh01w,NYL,987,228.79999999999995,0.23181357649442752,0.22727063125007568,0.8562691131498471,0,7
cronika01w,CHI,134,0.0,0.0,0.24309053296628214,0.9811718420682872,0,7
currimo01w,CHA,844,232.10000000000002,0.275,,0.8763369963369964,0,7
dalesst01w,CHI,454,73.90000000000003,0.16277533039647585,0.24309053296628214,0.9362090768582267,0,7
darlihe01w,CHA,607,89.0,0.14662273476112025,,0.9110622710622711,0,7
davisbr01w,LAS,118,14.100000000000001,0.11949152542372883,0.3247802869580376,0.9827106227106227,0,7
deforan01w,IND,1001,253.39999999999998,0.25314685314685315,0.29138020925636543,0.8538686131386861,0,7
derevje01w,PHO,467,109.9,0.23533190578158458,0.36287226182152515,0.9317949466919819,0,7
dixonta01w,HOU,591,62.500000000000014,0.10575296108291035,0.2852870563341688,0.9118436754176611,0,7
douglka01w,CON,1003,386.0000000000001,0.3848454636091726,0.3344753968762758,0.8532767700409596,0,7
duffyme01w,MIN,387,57.10000000000002,0.14754521963824296,0.268423246683591,0.9371038517796197,0,7
dupreca01w,CHI,1032,337.79999999999995,0.3273255813953488,0.24309053296628214,0.8549950821975552,0,7
dydekma01w,CON,743,292.0,0.39300134589502017,0.3344753968762758,0.8913107080163838,0,7
elysh01w,SAS,136,11.099999999999998,0.08161764705882352,0.2721819738617947,0.9758007117437723,0,7
farriba01w,NYL,944,162.5,0.1721398305084746,0.22727063125007568,0.8625309450997525,0,7
feastal01w,CHA,309,19.800000000000004,0.06407766990291264,,0.9547252747252747,0,7
flukety01w,CHA,324,31.39999999999999,0.09691358024691356,,0.9525274725274725,0,7
fordch01w,DET,920,401.59999999999997,0.43652173913043474,0.28618917239824226,0.8627889634601044,0,7
frohlli01w,IND,169,31.60000000000001,0.1869822485207101,0.29138020925636543,0.9753284671532847,0,7
gomisem01w,NYL,15,-1.4,-0.09333333333333332,0.22727063125007568,0.9978156400174749,0,7
gortmsh01w,SEA,265,28.400000000000006,0.10716981132075473,0.35262743245978967,0.9598667272451916,0,7
greenci01w,SEA,24,-4.1,-0.1708333333333333,0.35262743245978967,0.9963652885052249,0,7
griffyo01w,SAC,854,336.4,0.3939110070257611,0.2773959550907027,0.8504378283712785,0,7
hammobe01w,NYL,674,214.80000000000007,0.31869436201780427,0.22727063125007568,0.9018494247852046,0,7
haydeva01w,MIN,424,85.70000000000005,0.20212264150943407,0.268423246683591,0.9310905249471803,0,7
haynikr01w,SAC,476,92.80000000000001,0.19495798319327734,0.2773959550907027,0.9166374781085814,0,7
