Feature,Importance
CoachWinPct,0.2066699540458626
PrevWinPct,0.19200605005353297
PrevPointsFor,0.18550754571357572
PrevPointsAgainst,0.15255175891466377
WeightedScore,0.13428580808367274
Continuity,0.12897888318869216
