coachID,year,tmID,lgID,stint,won,lost,post_wins,post_losses
adubari99w,1,NYL,WNBA,0,20,12,4,3
aglerbr99w,1,MIN,WNBA,0,15,17,0,0
allenso99w,1,SAC,WNBA,0,21,11,0,2
chancva99w,1,HOU,WNBA,0,27,5,6,0
coopemi01w,1,LAS,WNBA,0,28,4,2,2
darscna99w,1,WAS,WNBA,1,9,11,0,0
donovan99w,1,IND,WNBA,0,9,23,0,0
dunnli99wc,1,SEA,WNBA,0,6,26,0,0
dunntr01wc,1,CHA,WNBA,0,8,24,0,0
hargrli99w,1,POR,WNBA,0,10,22,0,0
hugheda99w,1,CLE,WNBA,0,17,15,3,3
liebena01w,1,DET,WNBA,0,14,18,0,0
millech99w,1,PHO,WNBA,0,20,12,0,2
peckca99wc,1,ORL,WNBA,0,16,16,1,2
rothsro99w,1,MIA,WNBA,0,13,19,0,0
walkeda01w,1,WAS,WNBA,2,5,7,0,2
willifr99w,1,UTA,WNBA,0,18,14,0,0
