coachID,year,tmID,lgID,stint,won,lost,post_wins,post_losses
aglerbr99w,9,SEA,WNBA,0,22,12,1,2
bouceje01w,9,SAC,WNBA,0,18,16,1,2
coopemi01w,9,LAS,WNBA,0,20,14,3,3
coylepa99w,9,NYL,WNBA,0,19,15,3,3
dunnli99wc,9,IND,WNBA,0,17,17,1,2
gaineco01w,9,PHO,WNBA,0,16,18,0,0
hugheda99w,9,SAS,WNBA,0,24,10,4,5
kenlaje99w,9,WAS,WNBA,2,2,10,0,0
keyst99wc,9,CHI,WNBA,0,12,22,0,0
laimbbi01w,9,DET,WNBA,0,22,12,7,2
meadoma99w,9,ATL,WNBA,0,4,30,0,0
rollitr01w,9,WAS,WNBA,1,8,14,0,0
thibami99w,9,CON,WNBA,0,21,13,1,2
thompka99w,9,HOU,WNBA,0,17,17,0,0
zierddo99w,9,MIN,WNBA,0,16,18,0,0
