coachID,year,tmID,lgID,stint,won,lost,post_wins,post_losses
adubari99w,6,WAS,WNBA,0,16,18,0,0
bibbyhe01w,6,LAS,WNBA,1,13,15,0,0
boguemu01w,6,CHA,WNBA,2,3,7,0,0
bryanjo01w,6,LAS,WNBA,2,4,2,0,2
chancva99w,6,HOU,WNBA,0,19,15,2,3
coylepa99w,6,NYL,WNBA,0,18,16,0,2
donovan99w,6,SEA,WNBA,0,20,14,1,2
grafca99wc,6,PHO,WNBA,0,16,18,0,0
hugheda99w,6,SAS,WNBA,0,7,27,0,0
laceytr99w,6,CHA,WNBA,1,3,21,0,0
laimbbi01w,6,DET,WNBA,0,16,18,0,2
mcconsu01w,6,MIN,WNBA,0,14,20,0,0
thibami99w,6,CON,WNBA,0,26,8,5,3
whisejo99w,6,SAC,WNBA,0,25,9,7,1
wintebr01w,6,IND,WNBA,0,21,13,2,2
