playerID,year,stint,tmID,lgID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ
abrossv01w,7,0,MIN,WNBA,34,2,724,263,44,62,106,54,34,1,61,66,241,99,62,41,65,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderam01w,7,1,CON,WNBA,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderam01w,7,2,NYL,WNBA,3,0,9,0,1,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderch01w,7,0,SAS,WNBA,23,20,414,153,28,57,85,15,7,10,29,73,112,59,45,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atkinla01w,7,0,IND,WNBA,33,1,417,99,25,51,76,22,18,5,34,31,87,38,39,18,17,5,0,2,0,29,6,10,7,17,3,1,2,2,2,9,2,4,2,0,0,0
augusse01w,7,0,MIN,WNBA,34,34,1124,744,15,113,128,50,21,18,71,58,620,283,165,148,85,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bakersh01w,7,0,NYL,WNBA,34,16,614,251,23,33,56,35,46,2,50,69,251,97,56,48,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batteja01w,7,0,DET,WNBA,26,1,178,36,13,12,25,7,2,3,4,21,54,15,7,4,14,2,0,4,0,9,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0
battlas01w,7,0,NYL,WNBA,33,2,455,143,13,49,62,29,31,3,38,32,141,54,25,20,46,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beardal01w,7,0,WAS,WNBA,32,32,994,614,23,126,149,98,59,25,90,92,469,232,149,113,102,37,4,2,2,64,30,2,8,10,2,6,2,4,6,36,10,10,9,5,1,0
beviltu01w,7,0,IND,WNBA,34,34,999,223,10,67,77,79,71,1,54,72,185,76,53,38,106,33,0,2,2,62,9,0,6,6,2,1,0,0,7,10,2,6,4,3,1,0
bibrzag01w,7,0,SAS,WNBA,32,22,751,361,10,56,66,48,26,12,47,49,311,130,53,46,157,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
birdsu01w,7,0,SEA,WNBA,34,34,1065,389,24,78,102,162,61,5,88,60,333,137,68,59,153,56,1,3,3,106,38,3,5,8,10,1,2,7,3,36,13,8,5,21,7,0
blueni01w,7,0,WAS,WNBA,24,0,181,54,7,13,20,36,18,0,18,36,54,14,31,25,12,1,0,1,0,3,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0
bondla01w,7,0,CHA,WNBA,34,5,614,193,7,42,49,73,35,8,80,83,158,63,77,57,46,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
braxtka01w,7,0,DET,WNBA,34,1,359,146,42,75,117,26,11,11,53,83,143,58,48,30,2,0,1,10,0,123,50,8,20,28,6,8,4,18,27,52,22,11,6,0,0,0
brownco01w,7,0,CHI,WNBA,15,2,252,48,4,18,22,26,10,0,18,12,59,16,8,4,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
browned01w,7,0,HOU,WNBA,4,0,28,4,1,3,4,1,1,0,2,2,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brownki01w,7,0,NYL,WNBA,16,0,58,20,2,6,8,9,2,0,3,7,20,6,8,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brungje01w,7,0,CON,WNBA,4,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brunsre01w,7,0,SAC,WNBA,34,14,597,232,77,114,191,17,21,15,40,65,204,94,75,44,0,0,0,9,0,154,54,9,23,32,5,3,6,9,16,54,18,28,18,1,0,0
burseja01w,7,0,SEA,WNBA,27,27,737,300,63,115,178,22,17,25,55,91,221,113,109,73,1,1,1,3,3,81,31,3,7,10,1,2,3,1,11,26,10,13,11,0,0,1
byearla01w,7,0,WAS,WNBA,26,0,330,112,37,50,87,10,12,2,35,58,107,48,20,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cantydo01w,7,0,HOU,WNBA,15,15,431,164,12,40,52,44,17,0,35,36,105,54,77,56,3,0,0,2,2,48,16,0,4,4,6,0,0,5,1,8,6,6,4,0,0,0
careyja01w,7,0,CON,WNBA,24,0,286,63,1,15,16,32,7,0,17,24,58,22,5,5,40,14,0,5,0,29,5,0,1,1,2,0,0,0,4,6,2,0,0,5,1,0
cashsw01w,7,0,DET,WNBA,34,34,990,358,63,105,168,106,20,11,88,85,323,124,143,109,13,1,0,10,10,265,76,19,42,61,32,3,3,22,22,80,29,25,18,3,0,0
castriz01w,7,0,SEA,WNBA,34,26,655,246,16,56,72,47,23,2,49,58,194,91,59,39,65,25,0,3,3,88,29,3,5,8,8,2,1,6,10,18,7,15,13,9,2,0
catchta01w,7,0,IND,WNBA,32,32,1071,521,68,172,240,119,94,35,79,90,398,162,204,165,107,32,0,2,2,62,28,2,10,12,7,2,1,6,8,31,10,6,4,8,4,0
choneka01w,7,0,SEA,WNBA,3,0,16,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chriska01w,7,1,HOU,WNBA,6,0,88,18,9,10,19,4,0,0,11,21,16,8,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
