coachID,year,tmID,lgID,stint,won,lost,post_wins,post_losses
adamsmi01w,5,WAS,WNBA,0,17,17,1,2
adubari99w,5,NYL,WNBA,1,7,9,0,0
brownde01w,5,SAS,WNBA,2,6,20,0,0
chancva99w,5,HOU,WNBA,0,13,21,0,0
coopemi01w,5,LAS,WNBA,1,14,6,0,0
coylepa99w,5,NYL,WNBA,2,11,7,2,3
dailesh99w,5,SAS,WNBA,1,3,5,0,0
donovan99w,5,SEA,WNBA,0,20,14,6,2
grafca99wc,5,PHO,WNBA,0,17,17,0,0
laceytr99w,5,CHA,WNBA,0,16,18,0,0
laimbbi01w,5,DET,WNBA,0,17,17,1,2
mcconsu01w,5,MIN,WNBA,0,18,16,0,2
thibami99w,5,CON,WNBA,0,18,16,5,3
thompka99w,5,LAS,WNBA,2,11,3,1,2
weisery99w,5,LAS,WNBA,2,11,3,1,2
whisejo99w,5,SAC,WNBA,0,18,16,3,3
wintebr01w,5,IND,WNBA,0,15,19,0,0
