coachID,year,tmID,lgID,stint,won,lost,post_wins,post_losses
aglerbr99w,10,SEA,WNBA,0,20,14,1,2
bouceje01w,10,SAC,WNBA,1,3,10,0,0
coopemi01w,10,LAS,WNBA,0,18,16,3,3
coylepa99w,10,NYL,WNBA,1,6,11,0,0
donovan99w,10,NYL,WNBA,2,7,10,0,0
dunnli99wc,10,IND,WNBA,0,22,12,6,4
gaineco01w,10,PHO,WNBA,0,23,11,7,4
gilloje01w,10,MIN,WNBA,0,14,20,0,0
hugheda99w,10,SAS,WNBA,0,15,19,1,2
keyst99wc,10,CHI,WNBA,0,16,18,0,0
laimbbi01w,10,DET,WNBA,1,1,2,0,0
mahorri01w,10,DET,WNBA,2,17,14,3,2
meadoma99w,10,ATL,WNBA,0,18,16,0,2
plankju99w,10,WAS,WNBA,0,16,18,0,2
thibami99w,10,CON,WNBA,0,16,18,0,0
whisejo99w,10,SAC,WNBA,2,9,12,0,0
