coachID,year,tmID,lgID,stint,won,lost,post_wins,post_losses
adubari99w,4,NYL,WNBA,0,16,18,0,0
chancva99w,4,HOU,WNBA,0,20,14,1,2
coopemi01w,4,LAS,WNBA,0,24,10,5,4
dailesh99w,4,SAS,WNBA,2,6,6,0,0
donovan99w,4,SEA,WNBA,0,18,16,0,0
fortnne99w,4,IND,WNBA,0,16,18,0,0
harveca99w,4,SAS,WNBA,1,6,16,0,0
hugheda99w,4,CLE,WNBA,0,17,17,1,2
laceytr99w,4,CHA,WNBA,0,18,16,0,2
laimbbi01w,4,DET,WNBA,0,25,9,6,2
mcconsu01w,4,MIN,WNBA,0,18,16,1,2
mchugma99w,4,SAC,WNBA,1,7,11,0,0
shumajo01w,4,PHO,WNBA,0,8,26,0,0
stanlma99w,4,WAS,WNBA,0,9,25,0,0
thibami99w,4,CON,WNBA,0,18,16,2,2
whisejo99w,4,SAC,WNBA,2,12,4,3,3
