playerID,year,stint,tmID,lgID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ
abrossv01w,2,0,MIN,WNBA,26,23,846,343,43,131,174,53,42,9,85,70,293,114,132,96,76,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aldrima01w,2,0,WAS,WNBA,5,0,35,7,2,0,2,2,0,0,4,5,9,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alhalta01w,2,0,ORL,WNBA,26,1,252,49,15,23,38,14,11,0,28,20,58,19,14,7,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amachma01w,2,0,NYL,WNBA,2,0,3,1,1,0,1,0,0,1,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderke01w,2,0,CHA,WNBA,18,0,102,12,3,12,15,14,6,0,17,8,16,2,10,8,2,0,0,2,0,7,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0
andrame01w,2,0,CLE,WNBA,32,32,893,152,21,66,87,100,51,10,61,77,171,58,45,30,30,6,0,3,3,72,13,5,4,9,1,2,2,7,9,17,6,0,0,2,1,0
arcaija01w,2,0,HOU,WNBA,32,32,1154,591,49,87,136,94,60,3,83,82,509,217,150,135,66,22,1,2,2,71,29,2,9,11,5,2,0,5,5,34,13,2,2,8,1,0
askamma01w,2,0,MIA,WNBA,30,11,431,74,35,52,87,15,12,11,19,62,58,28,32,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azzije01w,2,0,UTA,WNBA,32,32,1205,276,10,88,98,171,22,10,69,89,184,75,96,88,74,38,1,2,2,75,9,0,3,3,10,1,1,5,7,12,3,1,1,7,2,0
badertr01w,2,0,CLE,WNBA,19,0,114,21,2,10,12,11,5,0,8,7,20,8,0,0,13,5,0,1,0,4,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,0
baranel01w,2,0,MIA,WNBA,32,30,984,378,40,151,191,63,33,57,62,81,330,141,71,66,80,30,2,3,3,105,44,7,11,18,7,2,2,9,9,33,15,11,8,11,6,0
barksla01w,2,0,POR,WNBA,5,0,35,2,1,5,6,4,2,0,1,3,10,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barnead01w,2,0,CLE,WNBA,3,0,3,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barnequ01w,2,0,SEA,WNBA,20,3,229,68,14,20,34,11,9,6,16,29,59,23,27,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bauerca01w,2,0,WAS,WNBA,15,0,102,15,8,10,18,3,2,1,6,12,17,5,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beviltu01w,2,0,POR,WNBA,31,31,788,153,27,61,88,103,59,6,52,102,119,39,71,52,73,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blackde01w,2,0,MIA,WNBA,32,32,946,180,43,83,126,123,82,2,51,69,187,70,48,37,20,3,0,3,3,95,14,7,9,16,11,5,1,4,7,18,7,0,0,3,0,0
blodgci01w,2,0,SAC,WNBA,11,0,72,34,1,8,9,6,6,1,11,6,29,13,0,0,15,8,0,2,0,7,6,0,2,2,1,0,0,1,1,4,2,2,1,2,1,0
boltoru01w,2,0,SAC,WNBA,31,0,582,222,34,59,93,55,28,1,39,55,216,73,52,36,110,40,0,5,0,121,55,10,12,22,9,4,0,10,11,44,17,13,12,23,9,0
boydca01w,2,0,DET,WNBA,21,0,230,75,10,16,26,14,11,2,16,32,67,23,20,18,36,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brazian01w,2,0,IND,WNBA,23,0,341,127,21,56,77,7,9,13,20,27,115,50,35,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bristre01w,2,0,CHA,WNBA,1,0,5,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brondsa01w,2,0,MIA,WNBA,29,29,850,367,10,40,50,63,28,4,36,61,344,142,70,57,66,26,0,3,3,107,34,1,9,10,7,2,0,3,5,36,13,6,5,10,3,0
browned01w,2,0,DET,WNBA,32,14,800,237,31,70,101,87,33,7,68,83,232,85,60,47,53,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brownru01w,2,0,CLE,WNBA,30,24,760,249,49,83,132,37,44,10,37,73,195,101,63,46,1,1,1,3,1,62,25,2,6,8,5,4,2,3,9,15,10,6,5,0,0,0
brumfma01w,2,0,MIA,WNBA,27,0,247,44,8,17,25,32,20,0,24,27,60,17,5,5,15,5,0,2,0,4,2,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0
bullevi01w,2,0,WAS,WNBA,32,32,1073,278,65,166,231,41,53,58,53,86,286,112,48,35,64,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burgean01w,2,0,WAS,WNBA,31,27,731,124,27,49,76,88,26,2,60,45,141,47,27,16,47,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burraal01w,2,0,POR,WNBA,26,1,272,106,22,37,59,10,5,3,30,30,83,44,31,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
