playerID,year,stint,tmID,lgID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ
abrossv01w,3,0,MIN,WNBA,27,27,805,314,45,101,146,60,42,10,92,73,316,119,116,56,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aguilel01w,3,0,UTA,WNBA,28,0,141,43,0,11,11,16,3,2,11,5,33,14,7,4,21,11,0,2,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
ambermo01w,3,0,SAC,WNBA,2,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderke01w,3,0,CHA,WNBA,7,0,31,7,2,4,6,5,0,0,3,4,12,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andrame01w,3,0,CLE,WNBA,32,16,665,91,17,39,56,67,29,6,41,82,111,34,23,18,26,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arcaija01w,3,0,HOU,WNBA,32,32,1116,364,42,84,126,86,51,6,71,49,302,128,111,98,37,10,0,3,3,119,39,2,9,11,4,5,1,5,11,35,15,8,7,7,2,0
askamma01w,3,2,LAS,WNBA,20,4,215,61,24,25,49,4,11,4,11,25,55,26,14,9,1,0,0,4,3,24,2,1,2,3,0,0,0,0,4,5,0,2,2,0,0,0
askamma01w,3,1,MIA,WNBA,6,1,72,11,6,5,11,3,1,1,1,9,10,4,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azzije01w,3,0,UTA,WNBA,32,32,1151,306,15,54,69,158,27,14,67,102,198,91,104,83,92,41,0,5,5,186,40,2,11,13,34,4,5,8,20,33,13,8,7,19,7,0
badertr01w,3,0,CLE,WNBA,18,0,132,14,1,6,7,15,6,1,7,3,26,4,6,5,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barksla01w,3,0,POR,WNBA,17,3,285,100,18,22,40,12,8,7,23,31,101,36,26,23,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barnead01w,3,0,SEA,WNBA,26,17,493,90,45,57,102,28,32,9,25,64,111,37,29,15,4,1,1,2,2,50,10,3,5,8,3,3,0,7,4,9,4,0,0,4,2,0
barnequ01w,3,0,PHO,WNBA,2,0,13,3,0,1,1,0,1,2,0,1,7,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bauerca01w,3,0,SAC,WNBA,25,2,233,43,14,27,41,1,2,5,25,34,57,17,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
berthlu01w,3,0,CLE,WNBA,5,0,16,8,3,1,4,0,0,0,0,5,7,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beviltu01w,3,0,POR,WNBA,27,19,421,84,7,26,33,44,22,3,27,49,61,25,29,19,36,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
birdsu01w,3,0,SEA,WNBA,32,32,1121,461,17,66,83,191,55,3,109,48,375,151,112,102,142,57,0,2,2,73,28,0,0,0,12,5,0,5,6,22,9,7,7,11,3,0
blackde01w,3,0,MIA,WNBA,32,32,899,153,41,82,123,137,59,5,32,75,160,64,33,25,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boltoru01w,3,0,SAC,WNBA,32,1,737,349,31,63,94,37,45,2,35,74,316,125,77,56,132,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bonfisu01w,3,0,PHO,WNBA,22,6,306,105,16,21,37,23,12,0,18,35,89,43,25,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brondsa01w,3,0,MIA,WNBA,30,23,763,263,7,34,41,46,26,4,40,40,266,97,67,55,44,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
browned01w,3,0,DET,WNBA,28,7,549,115,29,53,82,58,25,7,60,73,131,43,32,23,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brownki01w,3,0,WAS,WNBA,18,0,108,28,4,8,12,6,5,0,5,10,35,12,3,3,11,1,0,2,0,15,6,0,1,1,1,2,0,0,3,6,3,0,0,2,0,0
brownru01w,3,0,CLE,WNBA,28,2,468,112,29,46,75,27,21,8,39,54,105,42,38,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bullevi01w,3,0,WAS,WNBA,32,32,953,271,46,140,186,53,54,37,56,84,236,109,41,34,48,19,0,5,5,110,25,5,10,15,4,8,5,6,11,27,11,2,2,7,1,0
burgean01w,3,0,WAS,WNBA,26,26,632,125,16,46,62,93,34,4,41,39,101,39,45,35,33,12,0,5,5,160,30,7,8,15,27,2,0,10,4,29,11,9,6,8,2,0
burraal01w,3,0,POR,WNBA,32,24,633,278,52,95,147,7,10,7,49,58,186,117,52,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burseja01w,3,0,MIN,WNBA,31,2,344,83,29,31,60,7,7,13,18,60,83,31,36,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
byearla01w,3,0,LAS,WNBA,26,5,486,182,65,76,141,13,19,4,20,89,123,76,53,30,0,0,4,6,2,128,42,15,14,29,5,9,1,10,19,30,19,11,4,0,0,0
campbed01w,3,0,SAC,WNBA,1,0,12,4,0,1,1,0,1,0,0,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cantydo01w,3,0,DET,WNBA,28,12,625,160,24,45,69,83,21,4,56,59,154,52,76,55,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cashsw01w,3,0,DET,WNBA,32,32,1079,474,77,145,222,86,37,31,100,85,353,144,227,173,63,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castriz01w,3,0,MIA,WNBA,19,1,182,66,7,10,17,7,7,0,18,22,72,24,25,17,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
catchta01w,3,0,IND,WNBA,32,32,1167,594,92,184,276,118,94,43,82,105,439,184,184,150,193,76,2,3,3,103,61,12,20,32,7,4,1,11,7,45,22,11,9,21,8,0
caufila01w,3,0,UTA,WNBA,8,0,65,19,3,2,5,1,7,0,8,13,15,6,2,2,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chapmji01w,3,0,DET,WNBA,19,0,119,22,11,15,26,0,3,2,8,20,27,10,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chriska01w,3,0,PHO,WNBA,30,2,413,120,39,41,80,15,24,13,32,73,95,48,35,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clinest01w,3,0,DET,WNBA,12,0,105,27,1,4,5,17,1,1,6,6,21,8,6,5,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coopeca01w,3,0,NYL,WNBA,23,1,119,27,5,11,16,3,4,5,10,28,28,11,8,5,0,0,0,3,0,15,3,1,1,2,0,2,0,2,3,2,1,2,1,0,0,0
crawlsy01w,3,0,POR,WNBA,32,31,819,279,46,88,134,47,18,37,62,90,284,114,63,44,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crockda01w,3,0,UTA,WNBA,18,0,84,29,6,7,13,2,0,2,3,8,28,10,12,9,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
cunnida01w,3,0,ORL,WNBA,6,0,21,0,1,1,2,0,2,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dalesst01w,3,0,WAS,WNBA,31,28,805,303,26,55,81,84,16,4,68,79,230,93,100,74,109,43,1,5,5,98,38,5,3,8,16,2,0,5,8,30,13,4,4,18,8,0
daleygr01w,3,0,HOU,WNBA,23,4,185,63,13,10,23,16,3,1,17,15,37,16,47,29,8,2,0,1,0,7,2,2,0,2,0,0,0,1,0,2,0,2,2,0,0,0
desouer01w,3,0,LAS,WNBA,11,0,41,12,8,6,14,2,3,0,6,14,14,5,10,2,0,0,0,1,0,3,3,1,0,1,0,0,0,0,0,1,0,4,3,0,0,0
dixonta01w,3,0,LAS,WNBA,30,30,958,319,18,74,92,119,28,5,82,74,320,125,59,49,57,20,2,5,4,147,61,2,18,20,17,12,0,13,15,44,25,10,9,4,2,1
dossaci01w,3,0,ORL,WNBA,26,0,260,88,15,20,35,10,4,13,20,48,53,26,46,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
douglka01w,3,0,ORL,WNBA,32,30,830,271,41,94,135,53,49,13,42,66,205,92,67,58,79,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dydekma01w,3,0,UTA,WNBA,30,27,876,394,52,210,262,71,25,107,96,99,319,139,135,114,8,2,2,5,5,171,60,3,41,44,12,1,17,16,17,55,22,15,13,5,3,0
edwarsi01w,3,0,SEA,WNBA,32,5,694,223,46,95,141,19,21,12,44,66,158,84,73,54,1,1,0,2,0,31,4,2,1,3,0,0,0,2,4,8,1,4,2,0,0,0
edwarto01w,3,0,CHA,WNBA,29,0,303,112,11,30,41,24,16,2,17,28,99,36,46,33,25,7,0,2,0,19,3,0,1,1,1,0,0,1,2,5,1,2,0,3,1,0
enissh01w,3,0,CHA,WNBA,4,0,59,19,6,3,9,3,1,2,1,4,18,5,9,9,3,0,0,1,0,3,0,2,0,2,0,0,0,0,0,3,0,0,0,1,0,0
erbsu01w,3,0,CHA,WNBA,31,3,342,88,20,51,71,10,13,11,35,70,62,35,25,18,0,0,2,2,0,17,7,0,1,1,0,0,1,0,3,5,3,1,1,0,0,0
farriba01w,3,0,DET,WNBA,32,16,564,143,29,65,94,16,12,9,38,62,117,49,61,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feastal01w,3,0,CHA,WNBA,32,32,956,379,37,81,118,61,39,12,40,79,292,115,85,70,189,79,0,2,2,65,15,3,12,15,7,2,0,4,1,20,6,0,0,13,3,0
ferdima01w,3,0,UTA,WNBA,32,32,1065,489,19,88,107,91,51,7,89,86,371,176,171,132,34,5,0,5,5,186,74,4,18,22,13,10,0,20,16,56,25,34,23,5,1,0
figgsuk01w,3,0,POR,WNBA,31,31,866,264,13,67,80,104,25,2,44,50,233,83,65,59,120,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
folklkr01w,3,0,POR,WNBA,32,4,602,155,41,107,148,32,18,17,32,56,126,62,35,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fordst01w,3,0,SAC,WNBA,5,0,12,2,2,0,2,1,0,0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frettla01w,3,0,SAC,WNBA,32,15,648,187,30,65,95,23,5,19,27,70,187,84,17,14,15,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frohlli01w,3,0,NYL,WNBA,16,0,67,6,3,10,13,1,2,0,4,11,10,1,4,4,4,0,0,3,0,20,1,0,5,5,2,1,0,3,2,3,0,2,1,0,0,0
gaithka01w,3,1,LAS,WNBA,1,0,5,0,0,1,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gaithka01w,3,2,WAS,WNBA,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
garcibe01w,3,0,DET,WNBA,8,0,64,8,0,4,4,9,3,0,11,8,11,2,4,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gardnan01w,3,0,UTA,WNBA,30,2,198,57,29,32,61,5,3,3,13,35,49,18,38,21,0,0,0,3,0,14,5,1,3,4,0,0,1,1,5,3,2,2,1,0,0,0
gibsoke01w,3,0,HOU,WNBA,29,2,276,60,3,17,20,14,8,7,21,21,55,21,6,4,36,14,0,2,0,22,10,3,1,4,0,0,0,1,3,8,4,0,0,3,2,0
gilloje01w,3,0,PHO,WNBA,31,31,874,473,36,80,116,37,29,21,61,90,400,166,131,105,93,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goodsad01w,3,0,UTA,WNBA,32,32,1101,503,91,90,181,67,45,6,102,92,419,189,157,117,28,8,0,5,5,190,72,9,18,27,8,7,0,21,11,74,29,17,12,7,2,0
gortmsh01w,3,0,MIN,WNBA,29,2,369,91,16,45,61,21,13,6,25,42,97,35,9,7,43,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grginve01w,3,0,LAS,WNBA,12,0,79,31,3,5,8,1,1,0,8,11,31,12,3,2,12,5,0,1,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
griffyo01w,3,0,SAC,WNBA,17,17,577,288,66,82,148,19,16,13,45,70,179,93,127,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
groomla01w,3,0,SAC,WNBA,32,26,850,227,38,61,99,39,21,8,46,69,181,78,83,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grubigo01w,3,0,PHO,WNBA,32,31,859,317,16,48,64,104,36,3,58,59,297,114,79,60,92,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hallam01w,3,0,POR,WNBA,20,0,104,30,8,18,26,1,7,1,12,12,24,11,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hallvi01w,3,0,LAS,WNBA,3,0,19,7,1,1,2,1,1,0,1,2,4,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hammobe01w,3,0,NYL,WNBA,32,1,659,256,18,50,68,54,25,0,55,49,197,87,56,38,114,44,0,8,0,183,79,2,15,17,16,5,0,11,12,54,29,8,7,33,14,0
harrili01w,3,0,PHO,WNBA,32,28,899,262,43,83,126,40,31,3,45,62,242,120,23,20,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harrokr01w,3,0,MIN,WNBA,27,6,481,96,9,37,46,54,12,0,28,24,95,37,10,4,54,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hendetr01w,3,0,CLE,WNBA,23,0,173,35,12,22,34,3,3,7,18,26,41,16,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
henniso01w,3,2,HOU,WNBA,23,10,521,44,10,48,58,51,23,6,36,42,52,18,11,5,12,3,0,3,3,48,0,1,3,4,4,1,0,2,2,9,0,0,0,2,0,0
henniso01w,3,1,SEA,WNBA,8,5,207,18,8,18,26,15,9,1,7,15,22,8,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
herriam01w,3,0,UTA,WNBA,28,3,269,68,15,42,57,4,9,14,21,35,53,23,30,22,0,0,0,2,0,9,2,1,1,2,0,0,1,1,1,1,1,0,0,0,0,0
hicksje01w,3,0,ORL,WNBA,31,6,471,190,60,42,102,23,19,25,51,77,153,73,63,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hledeko01w,3,0,NYL,WNBA,16,0,129,26,4,12,16,12,6,2,21,24,26,11,9,4,1,0,0,2,0,12,3,2,1,3,1,1,0,2,1,1,0,4,3,0,0,0
holdsch01w,3,0,WAS,WNBA,20,20,634,397,54,178,232,45,20,6,45,50,330,149,106,88,28,11,0,5,5,173,94,10,33,43,16,10,3,10,14,78,35,30,22,11,2,0
