Year,confID,Spearman,KendallTau,MAE,RMSE,Top1_Accuracy,Top3_Accuracy
2,EA,0.880952380952381,0.7857142857142856,1.5176573010323016,1.5900267410343787,1.0,0.6666666666666666
2,WE,0.880952380952381,0.7857142857142856,1.3387387043512033,1.54147276676955,1.0,0.6666666666666666
3,EA,0.6428571428571429,0.4999999999999999,1.667604840298591,1.914446703678016,1.0,0.6666666666666666
3,WE,0.8095238095238096,0.7142857142857142,1.2888372238872248,1.636602337935966,1.0,1.0
4,EA,0.7714285714285715,0.6,1.3541567959817966,1.5881443101280897,0.0,0.6666666666666666
4,WE,0.8285714285714287,0.7333333333333333,1.013176131276132,1.2003880272043708,1.0,1.0
5,EA,0.7714285714285715,0.6,1.1025562235694593,1.2220266799943784,0.0,1.0
5,WE,0.6071428571428572,0.5238095238095238,1.1709360655217789,1.4324569639316953,1.0,0.3333333333333333
6,EA,0.942857142857143,0.8666666666666666,0.8511870621752978,1.0888292787626974,1.0,1.0
6,WE,0.7500000000000002,0.6190476190476191,1.2873113085327363,1.4538721918408835,0.0,0.6666666666666666
7,EA,0.6571428571428573,0.6,0.885246415621415,1.057746055473675,1.0,0.6666666666666666
7,WE,0.9285714285714288,0.8095238095238096,1.0394516998874141,1.2962368976854346,1.0,0.6666666666666666
8,EA,1.0,0.9999999999999999,0.7051259658642021,0.82025915675446,1.0,1.0
8,WE,0.8214285714285715,0.6190476190476191,1.2387441329911912,1.5425148954165957,0.0,1.0
9,EA,0.6,0.4666666666666666,1.1218087708587714,1.3000943231011453,0.0,0.6666666666666666
9,WE,0.9285714285714288,0.8095238095238096,1.1535206713920996,1.404929143203539,0.0,1.0
10,EA,0.8571428571428573,0.7142857142857143,1.2275198011139206,1.4906016464093734,1.0,0.6666666666666666
10,WE,0.8285714285714287,0.7333333333333333,1.0774932473300123,1.3188894981559878,0.0,1.0
