playerID,year,team,points_per_min,assists_per_min,rebounds_per_min,steals_per_min,blocks_per_min,turnovers_per_min,FG%,FT%,Three%,Three Rate
batkosu01w,10,SEA,0.3197278911564626,0.027210884353741496,0.19727891156462585,0.034013605442176874,0.04081632653061224,0.16326530612244897,0.4883720930232558,0.25,0.2727272727272727,0.2558139534883721
batteja01w,6,MIN,0.0,0.06521739130434782,0.10869565217391304,0.0,0.021739130434782608,0.06521739130434782,0.0,0.0,0.0,0.0
batteja01w,7,DET,0.20224719101123595,0.03932584269662921,0.1404494382022472,0.011235955056179775,0.016853932584269662,0.02247191011235955,0.2777777777777778,0.5714285714285714,0.14285714285714285,0.25925925925925924
battlas01w,6,SEA,0.25,0.0,0.25,0.0,0.0,0.125,0.5,0.0,0.0,0.0
battlas01w,7,NYL,0.3142857142857143,0.06373626373626373,0.13626373626373625,0.06813186813186813,0.006593406593406593,0.08351648351648351,0.3829787234042553,0.8,0.32608695652173914,0.3262411347517731
battlas01w,8,NYL,0.332892998678996,0.07397622192866579,0.166446499339498,0.046235138705416116,0.002642007926023778,0.06340819022457067,0.36475409836065575,0.7758620689655172,0.3118279569892473,0.38114754098360654
battlas01w,9,NYL,0.3601190476190476,0.07142857142857142,0.15773809523809523,0.044642857142857144,0.002976190476190476,0.08333333333333333,0.37755102040816324,0.72,0.36666666666666664,0.30612244897959184
battlas01w,10,NYL,0.32299270072992703,0.072992700729927,0.1551094890510949,0.05656934306569343,0.0036496350364963502,0.0948905109489051,0.42567567567567566,0.6956521739130435,0.41304347826086957,0.3108108108108108
bauerca01w,1,CHA,0.19095477386934673,0.035175879396984924,0.1407035175879397,0.020100502512562814,0.007537688442211055,0.07035175879396985,0.4027777777777778,0.8571428571428571,0.0,0.013888888888888888
bauerca01w,2,WAS,0.14705882352941177,0.029411764705882353,0.17647058823529413,0.0196078431372549,0.00980392156862745,0.058823529411764705,0.29411764705882354,0.5,0.0,0.058823529411764705
bauerca01w,3,SAC,0.18454935622317598,0.004291845493562232,0.1759656652360515,0.008583690987124463,0.02145922746781116,0.1072961373390558,0.2982456140350877,0.6,0.0,0.0
beardal01w,5,WAS,0.4351219512195122,0.08878048780487804,0.13951219512195123,0.06731707317073171,0.033170731707317075,0.07804878048780488,0.41842105263157897,0.7181208053691275,0.375,0.14736842105263157
beardal01w,6,WAS,0.41576354679802957,0.08866995073891626,0.12807881773399016,0.04433497536945813,0.008866995073891626,0.06206896551724138,0.3799019607843137,0.7619047619047619,0.31683168316831684,0.24754901960784315
beardal01w,7,WAS,0.6177062374245473,0.09859154929577464,0.14989939637826963,0.059356136820925554,0.025150905432595575,0.09054325955734406,0.4946695095948827,0.7583892617449665,0.3627450980392157,0.21748400852878466
beardal01w,8,WAS,0.5320786997433704,0.08468776732249786,0.11890504704875962,0.05474764756201882,0.020530367835757058,0.08041060735671514,0.4155844155844156,0.8466666666666667,0.3219178082191781,0.27087198515769945
beardal01w,9,WAS,0.48717948717948717,0.10714285714285714,0.10805860805860806,0.05036630036630037,0.0173992673992674,0.09706959706959707,0.39451476793248946,0.7328767123287672,0.3541666666666667,0.3037974683544304
beardal01w,10,WAS,0.49949238578680205,0.06903553299492386,0.12487309644670051,0.07309644670050762,0.018274111675126905,0.10152284263959391,0.4292237442922374,0.7368421052631579,0.29906542056074764,0.24429223744292236
beckki01w,9,SEA,0.1827956989247312,0.06451612903225806,0.12903225806451613,0.043010752688172046,0.021505376344086023,0.043010752688172046,0.4444444444444444,0.8333333333333334,0.6666666666666666,0.6666666666666666
bennije01w,6,IND,0.17307692307692307,0.07692307692307693,0.11538461538461539,0.019230769230769232,0.019230769230769232,0.07692307692307693,0.375,0.75,0.0,0.25
berezva01w,9,SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
berthlu01w,3,CLE,0.5,0.0,0.25,0.0,0.0,0.0,0.42857142857142855,0.5,0.0,0.14285714285714285
berthlu01w,4,CLE,0.417910447761194,0.029850746268656716,0.208955223880597,0.04975124378109453,0.01990049751243781,0.10945273631840796,0.5192307692307693,0.6521739130434783,0.0,0.019230769230769232
berthlu01w,5,HOU,0.27611940298507465,0.029850746268656716,0.20149253731343283,0.04477611940298507,0.014925373134328358,0.06716417910447761,0.35294117647058826,0.7222222222222222,0.0,0.0
beviltu01w,1,POR,0.1922110552763819,0.11180904522613065,0.11934673366834171,0.05150753768844221,0.007537688442211055,0.0829145728643216,0.35714285714285715,0.7777777777777778,0.2833333333333333,0.5357142857142857
beviltu01w,2,POR,0.19416243654822335,0.13071065989847716,0.1116751269035533,0.07487309644670051,0.007614213197969543,0.06598984771573604,0.3277310924369748,0.7323943661971831,0.3150684931506849,0.6134453781512605
beviltu01w,3,POR,0.1995249406175772,0.10451306413301663,0.07838479809976247,0.052256532066508314,0.007125890736342043,0.06413301662707839,0.4098360655737705,0.6551724137931034,0.4166666666666667,0.5901639344262295
beviltu01w,4,SEA,0.23015873015873015,0.12698412698412698,0.10317460317460317,0.05555555555555555,0.003968253968253968,0.07936507936507936,0.3333333333333333,0.7619047619047619,0.38095238095238093,0.4117647058823529
beviltu01w,5,SEA,0.2206703910614525,0.08100558659217877,0.07262569832402235,0.10614525139664804,0.00558659217877095,0.07262569832402235,0.4,0.6896551724137931,0.4230769230769231,0.43333333333333335
beviltu01w,6,IND,0.2222222222222222,0.09163802978235967,0.07216494845360824,0.06872852233676977,0.0,0.058419243986254296,0.3888888888888889,0.5454545454545454,0.3793103448275862,0.7160493827160493
beviltu01w,7,IND,0.22322322322322322,0.07907907907907907,0.07707707707707707,0.07107107107107107,0.001001001001001001,0.05405405405405406,0.41081081081081083,0.7169811320754716,0.3113207547169811,0.572972972972973
beviltu01w,8,IND,0.1997780244173141,0.10210876803551609,0.08324084350721421,0.06215316315205328,0.0022197558268590455,0.058823529411764705,0.44,0.6818181818181818,0.3707865168539326,0.5933333333333334
beviltu01w,9,IND,0.1997716894977169,0.07420091324200913,0.0776255707762557,0.06735159817351598,0.0045662100456621,0.03995433789954338,0.4050632911392405,0.6071428571428571,0.33707865168539325,0.5632911392405063
beviltu01w,10,IND,0.24274099883855982,0.11265969802555169,0.09175377468060394,0.07200929152148665,0.009291521486643438,0.05574912891986063,0.3756906077348066,0.6666666666666666,0.34579439252336447,0.5911602209944752
bibbyje01w,1,NYL,0.2753623188405797,0.15942028985507245,0.07246376811594203,0.043478260869565216,0.0,0.17391304347826086,0.16666666666666666,0.8461538461538461,0.3333333333333333,0.3333333333333333
bibrzag01w,5,SAS,0.3419354838709677,0.08602150537634409,0.060215053763440864,0.04516129032258064,0.015053763440860216,0.06881720430107527,0.36423841059602646,0.8846153846153846,0.30952380952380953,0.5562913907284768
bibrzag01w,7,SAS,0.4806924101198402,0.06391478029294274,0.08788282290279627,0.03462050599201065,0.015978695073235686,0.06258322237017311,0.4180064308681672,0.8679245283018868,0.3503184713375796,0.5048231511254019
birdsu01w,3,SEA,0.4112399643175736,0.1703835860838537,0.07404103479036575,0.04906333630686887,0.0026761819803746653,0.09723461195361284,0.4026666666666667,0.9107142857142857,0.4014084507042254,0.37866666666666665
birdsu01w,4,SEA,0.36971830985915494,0.19454225352112675,0.0994718309859155,0.04225352112676056,0.0008802816901408451,0.09683098591549295,0.421195652173913,0.8840579710144928,0.35,0.3804347826086957
birdsu01w,5,SEA,0.386443661971831,0.1619718309859155,0.09330985915492958,0.0448943661971831,0.0044014084507042256,0.07658450704225352,0.46319018404907975,0.8588235294117647,0.4383561643835616,0.44785276073619634
birdsu01w,6,SEA,0.3568627450980392,0.17254901960784313,0.07058823529411765,0.028431372549019607,0.0058823529411764705,0.08529411764705883,0.4421768707482993,0.855072463768116,0.4368932038834951,0.35034013605442177
birdsu01w,7,SEA,0.3652582159624413,0.15211267605633802,0.09577464788732394,0.05727699530516432,0.004694835680751174,0.08262910798122065,0.4114114114114114,0.8676470588235294,0.3660130718954248,0.4594594594594595
birdsu01w,8,SEA,0.3297062023939064,0.15560391730141457,0.062023939064200215,0.046789989118607184,0.008705114254624592,0.07290533188248095,0.427536231884058,0.8461538461538461,0.3383458646616541,0.48188405797101447
birdsu01w,9,SEA,0.41854185418541856,0.15211521152115212,0.07560756075607561,0.0351035103510351,0.0027002700270027003,0.07920792079207921,0.441025641025641,0.8705882352941177,0.34306569343065696,0.35128205128205126
birdsu01w,10,SEA,0.3605812897366031,0.16257947320617622,0.07084468664850137,0.04268846503178928,0.0027247956403269754,0.07356948228882834,0.40848806366047746,0.8536585365853658,0.36,0.3978779840848806
bjorkte01w,5,CHA,0.15384615384615385,0.0,0.0,0.0,0.0,0.07692307692307693,0.3333333333333333,0.0,0.0,0.0
blackch01w,10,CON,0.2266355140186916,0.014018691588785047,0.25,0.030373831775700934,0.0630841121495327,0.05841121495327103,0.3804347826086957,0.627906976744186,0.0,0.010869565217391304
blackde01w,1,MIA,0.18536585365853658,0.11951219512195121,0.11219512195121951,0.07073170731707316,0.0012195121951219512,0.06097560975609756,0.38,0.6904761904761905,0.21428571428571427,0.28
blackde01w,2,MIA,0.19027484143763213,0.13002114164904863,0.1331923890063425,0.08668076109936575,0.0021141649048625794,0.05391120507399577,0.37433155080213903,0.7708333333333334,0.15,0.10695187165775401
blackde01w,3,MIA,0.17018909899888765,0.15239154616240266,0.13681868743047831,0.06562847608453838,0.0055617352614015575,0.035595105672969966,0.4,0.7575757575757576,0.0,0.01875
blackde01w,4,CON,0.14745308310991956,0.12332439678284182,0.13672922252010725,0.05361930294906166,0.005361930294906166,0.04825737265415549,0.35294117647058826,0.6666666666666666,0.3333333333333333,0.04411764705882353
blackde01w,5,CON,0.1585014409221902,0.13544668587896252,0.1037463976945245,0.05475504322766571,0.0,0.043227665706051875,0.4642857142857143,0.75,0.0,0.017857142857142856
blodgci01w,1,SAC,0.39097744360902253,0.022556390977443608,0.06766917293233082,0.06015037593984962,0.007518796992481203,0.09774436090225563,0.4,0.6666666666666666,0.2857142857142857,0.56
blodgci01w,2,SAC,0.4722222222222222,0.08333333333333333,0.125,0.08333333333333333,0.013888888888888888,0.1527777777777778,0.4482758620689655,0.0,0.5333333333333333,0.5172413793103449
