playerID,avg_EFF,avg_conference_rank,total_team_wins,total_team_losses,total_minutes,total_playoffs_made,total_points,total_rebounds,total_assists,total_steals,total_blocks,award_year,points_per_minute,rebounds_per_minute,assists_per_minute,Target
abrossv01w,250.4,5.4,72,94,3682,2,1425,642,300,206,38,7,0.38701792504073873,0.17436175991309072,0.08147745790331341,0
adamsjo01w,35.0,4.0,18,16,96,1,33,23,4,2,3,7,0.34375,0.23958333333333334,0.041666666666666664,0
aguilel01w,42.0,3.0,20,12,141,1,43,11,16,3,2,7,0.3049645390070922,0.07801418439716312,0.11347517730496454,0
aldrima01w,29.0,6.0,24,40,307,1,70,26,30,9,4,7,0.2280130293159609,0.08469055374592833,0.09771986970684039,0
alhalta01w,38.0,5.0,13,19,252,0,49,38,14,11,0,7,0.19444444444444445,0.15079365079365079,0.05555555555555555,0
amachma01w,4.333333333333333,4.0,55,45,53,1,11,15,0,5,3,7,0.20754716981132076,0.2830188679245283,0.0,0
ambermo01w,0.0,6.0,14,18,4,0,0,0,0,0,0,7,0.0,0.0,0.0,0
anderch01w,83.33333333333333,4.666666666666667,44,58,1071,2,322,148,21,16,26,7,0.3006535947712418,0.13818860877684408,0.0196078431372549,0
anderke01w,51.333333333333336,3.3333333333333335,50,46,567,3,94,67,94,31,3,7,0.1657848324514991,0.11816578483245149,0.1657848324514991,0
andrame01w,161.5,3.75,65,65,2420,2,517,242,249,121,27,7,0.21363636363636362,0.1,0.10289256198347108,0
arcaija01w,375.8,2.6,109,55,5462,5,1955,610,360,249,19,7,0.3579274990845844,0.11168070303917979,0.06590992310508971,0
askamma01w,142.75,4.0,73,55,1587,2,397,378,51,41,37,7,0.25015752993068685,0.2381852551984877,0.03213610586011342,0
aycocan01w,3.0,7.0,21,43,13,0,0,5,4,0,0,7,0.0,0.38461538461538464,0.3076923076923077,0
azizle01w,9.0,5.0,16,18,44,0,10,9,1,0,4,7,0.22727272727272727,0.20454545454545456,0.022727272727272728,0
azzije01w,318.25,4.25,69,61,4051,2,986,299,532,88,38,7,0.24339669217477167,0.0738089360651691,0.13132559861762527,0
badertr01w,29.666666666666668,3.3333333333333335,49,47,447,2,82,30,47,28,2,7,0.18344519015659955,0.06711409395973154,0.10514541387024609,0
banchrh01w,1.0,3.0,21,11,21,1,6,3,1,0,0,7,0.2857142857142857,0.14285714285714285,0.047619047619047616,0
baranel01w,461.75,3.5,72,62,3835,3,1338,845,253,131,204,7,0.3488917861799218,0.22033898305084745,0.06597131681877444,0
barksla01w,37.666666666666664,6.0,39,59,488,0,161,79,21,11,10,7,0.32991803278688525,0.16188524590163936,0.0430327868852459,0
barnead01w,75.8,2.8,94,70,1312,4,255,233,86,66,18,7,0.19435975609756098,0.17759146341463414,0.06554878048780488,0
barnequ01w,78.33333333333333,7.666666666666667,27,69,947,0,280,119,44,29,41,7,0.29567053854276665,0.12565997888067582,0.046462513199577615,0
batkosu01w,217.0,2.0,20,14,461,1,199,94,26,17,24,7,0.4316702819956616,0.2039045553145336,0.05639913232104121,0
batteja01w,0.0,6.0,14,20,46,0,0,5,3,0,1,7,0.0,0.10869565217391304,0.06521739130434782,0
battlas01w,2.0,2.0,20,14,8,1,2,2,0,0,0,7,0.25,0.25,0.0,0
bauerca01w,40.0,7.333333333333333,32,64,733,0,134,115,18,12,9,7,0.18281036834924966,0.15688949522510232,0.02455661664392906,0
beardal01w,397.5,4.5,33,35,2040,1,868,273,181,114,43,7,0.42549019607843136,0.1338235294117647,0.08872549019607844,0
bennije01w,11.0,2.0,21,13,52,1,9,6,4,1,1,7,0.17307692307692307,0.11538461538461539,0.07692307692307693,0
berthlu01w,43.0,5.666666666666667,40,60,351,1,129,73,10,16,6,7,0.36752136752136755,0.20797720797720798,0.02849002849002849,0
beviltu01w,167.16666666666666,4.666666666666667,96,102,3488,2,721,331,377,234,18,7,0.20670871559633028,0.09489678899082568,0.1080848623853211,0
bibbyje01w,9.0,1.0,20,12,69,1,19,5,11,3,0,7,0.2753623188405797,0.07246376811594203,0.15942028985507245,0
bibrzag01w,124.0,7.0,9,25,465,0,159,28,40,21,7,7,0.3419354838709677,0.060215053763440864,0.08602150537634409,0
birdsu01w,454.75,3.25,75,59,4413,3,1684,374,772,183,15,7,0.38159981871742576,0.08474960344436891,0.17493768411511443,1
bjorkte01w,-1.0,5.0,16,18,13,0,2,0,0,0,0,7,0.15384615384615385,0.0,0.0,0
blackde01w,228.0,3.8,84,80,3385,3,595,428,451,238,10,7,0.1757754800590842,0.12644017725258494,0.13323485967503693,0
blodgci01w,28.5,2.5,41,23,205,2,86,18,9,14,2,7,0.4195121951219512,0.08780487804878048,0.04390243902439024,0
blueoc01w,19.0,4.0,33,35,192,1,48,23,7,1,0,7,0.25,0.11979166666666667,0.036458333333333336,0
boltoru01w,206.8,3.6,92,72,3177,4,1260,399,215,163,6,7,0.39660056657223797,0.125590179414542,0.06767390620081838,0
bonfisu01w,107.0,7.0,11,21,306,0,105,37,23,12,0,7,0.3431372549019608,0.12091503267973856,0.07516339869281045,0
boydca01w,66.0,7.0,10,22,230,0,75,26,14,11,2,7,0.32608695652173914,0.11304347826086956,0.06086956521739131,0
braxtka01w,180.0,4.0,16,18,455,1,227,100,14,18,13,7,0.4989010989010989,0.21978021978021978,0.03076923076923077,0
brazian01w,91.0,7.0,18,46,544,0,178,111,12,14,13,7,0.3272058823529412,0.20404411764705882,0.022058823529411766,0
bristre01w,0.0,4.0,18,14,5,1,0,2,0,0,0,7,0.0,0.4,0.0,0
brogami01w,288.0,4.0,20,12,725,1,211,111,49,30,6,7,0.2910344827586207,0.15310344827586206,0.06758620689655172,0
brondsa01w,216.66666666666666,4.666666666666667,53,45,2588,1,910,147,178,85,10,7,0.3516228748068006,0.05680061823802164,0.0687789799072643,0
brownco01w,74.66666666666667,4.333333333333333,52,50,943,1,296,77,75,29,5,7,0.3138918345705196,0.0816542948038176,0.07953340402969247,0
browned01w,169.25,6.75,41,89,2492,0,658,342,279,112,26,7,0.2640449438202247,0.13723916532905298,0.11195826645264847,0
brownki01w,42.2,4.4,78,90,780,3,194,95,78,34,3,7,0.24871794871794872,0.12179487179487179,0.1,0
