playerID,year,avg_rating,avg_conference_rank,team_wins,team_losses,minutes,playoffs_made,all_decade_team
kostita01w,7,4.0,6.0,13,19,46,0,0
kraayca01w,7,63.0,3.0,18,16,196,1,0
kubikni01w,7,6.0,4.5,33,31,40,1,0
lacyve01w,7,4.0,1.0,20,12,18,1,0
lambesh01w,7,67.75,3.25,72,62,1143,3,0
lambmo01w,7,41.0,2.0,27,5,140,1,0
lassiam01w,7,134.16666666666666,4.0,110,88,2897,4,0
lawsoed01w,7,5.5,3.0,37,31,126,2,0
lawsoka01w,7,230.33333333333331,2.6666666666666665,62,40,2104,3,0
lazicka01w,7,6.0,2.0,21,11,55,1,0
lennobe01w,7,226.14285714285717,4.857142857142857,109,121,4224,3,0
leslili01w,7,641.1666666666666,1.5,147,51,6159,6,1
levanni01w,7,22.0,1.0,28,4,67,1,0
lewista01w,7,26.0,4.0,17,15,57,1,0
lewisty01w,7,78.5,4.166666666666667,97,103,1671,3,0
lloydan01w,7,83.0,6.0,15,17,333,0,0
lobore01w,7,35.666666666666664,2.333333333333333,63,35,514,3,0
lovelst01w,7,121.25,6.25,48,84,1517,1,0
luckepa01w,7,2.0,5.0,13,19,8,0,0
luzhe01w,7,124.66666666666669,6.0,36,62,1128,1,0
lyttlsa01w,7,222.0,3.0,19,15,460,1,0
mabikmw01w,7,366.1666666666667,1.5,147,51,5192,6,0
macchla01w,7,102.0,2.5,42,26,558,2,0
machacl01w,7,167.0,3.333333333333333,62,34,1429,2,0
mahonsh01w,7,17.0,4.0,31,33,171,1,0
maigaha01w,7,83.5,3.5,76,58,1275,3,0
malcona01w,7,161.5,5.0,26,38,1304,1,0
malloso01w,7,14.0,7.0,8,26,44,0,0
mannish01w,7,148.0,6.0,13,19,403,0,0
mannkr01w,7,84.0,6.0,14,20,185,0,0
mapprh01w,7,228.33333333333331,3.333333333333333,60,38,1506,2,0
marcimi01w,7,115.33333333333331,6.333333333333333,37,59,1209,1,0
martima01w,7,129.5,6.0,27,37,950,0,0
martinu01w,7,-1.0,6.0,14,20,2,0,0
mascira01w,7,69.0,2.5,42,26,579,2,0
matteca01w,7,7.0,6.0,6,28,56,0,0
maxwemo01w,7,154.0,5.666666666666667,35,61,1437,1,0
mazzake01w,7,49.0,5.5,22,46,565,0,0
mccaibr01w,7,65.0,7.0,10,22,392,0,0
mccaiti01w,7,35.666666666666664,4.333333333333333,45,51,707,1,0
mccarja01w,7,92.0,6.0,6,28,311,0,0
mccarst01w,7,175.75,6.0,50,82,2166,0,0
mcconsu01w,7,201.0,2.0,17,15,705,1,0
mccrani01w,7,173.0,5.5,80,118,4339,2,0
mccrini01w,7,108.0,1.0,105,25,1493,4,0
mcculda01w,7,48.0,5.5,54,76,615,1,0
mcgheca01w,7,36.0,4.333333333333333,45,51,483,1,0
mckivte01w,7,112.33333333333331,4.333333333333333,40,62,780,1,0
mcwilta01w,7,462.1666666666667,3.0,107,91,5739,4,0
melvich01w,7,377.8333333333333,3.8333333333333335,99,99,5650,4,0
mendigi01w,7,11.0,4.0,18,16,39,1,0
miaomi01w,7,18.0,1.0,25,9,135,1,0
milleco01w,7,208.6,5.4,69,97,3254,2,0
milleke01w,7,220.6,3.2,90,76,3455,4,0
millsta01w,7,73.5,5.25,53,77,816,2,0
miltode01w,7,402.6666666666667,1.6666666666666667,146,52,5646,5,0
moisead01w,7,109.5,6.0,24,40,742,0,0
mooreja01w,7,40.0,4.0,16,16,128,1,0
mooreje01w,7,7.5,5.0,23,45,158,1,0
moorelo01w,7,34.0,3.0,18,16,182,1,0
mooreta01w,7,70.83333333333333,5.0,93,107,1347,2,0
moosca01w,7,0.0,6.0,15,17,6,0,0
moweje01w,7,2.0,4.333333333333333,51,47,54,1,0
mulitna01w,7,86.0,5.0,18,14,291,0,0
nagyan01w,7,100.66666666666669,4.0,49,47,1316,2,0
ndiayas01w,7,207.8,5.4,73,91,2701,1,0
nemcoev01w,7,85.5,1.5,39,25,556,2,0
nevescl01w,7,90.66666666666669,6.0,39,57,1237,0,0
newtoch01w,7,162.0,1.0,25,9,715,1,0
ngoyibe01w,7,64.0,4.0,25,41,263,1,0
nieuwma01w,7,3.0,4.0,17,17,16,1,0
nolande01w,7,323.0,4.6,77,89,4654,3,0
nygaava01w,7,125.75,5.25,60,70,1713,1,0
ohldeni01w,7,421.0,4.5,32,36,2056,1,0
owenhe01w,7,7.0,4.0,14,18,60,1,0
owenssh01w,7,64.5,4.0,31,33,611,1,0
pagemu01w,7,278.6666666666667,5.166666666666667,83,115,5033,3,0
paigeyo01w,7,17.0,2.0,21,13,78,1,0
palmewe01w,7,276.57142857142856,5.142857142857143,92,138,4631,2,0
pavlimi01w,7,6.0,5.0,27,39,50,1,0
payeka01w,7,84.66666666666667,5.333333333333333,44,52,1174,1,0
penicti01w,7,330.0,3.1666666666666665,117,81,5519,5,1
pennjo01w,7,48.5,7.0,18,50,291,0,0
perkiji01w,7,68.5,5.5,22,46,481,0,0
pettibr01w,7,109.0,4.5,65,65,1603,2,0
phillta01w,7,344.0,2.5,112,86,4746,5,0
pierspl01w,7,154.0,5.25,57,79,2167,1,0
potthan01w,7,1.0,6.0,15,17,8,0,0
powelel01w,7,208.7142857142857,4.142857142857143,112,118,4476,4,0
powelni01w,7,246.5,3.0,41,27,1372,1,0
pridely01w,7,105.2,5.2,74,90,1858,2,0
quinnte01w,7,30.0,7.0,9,23,118,0,0
radunha01w,7,6.0,2.0,21,11,9,1,0
raglafe01w,7,66.75,5.0,57,77,997,2,0
randase01w,7,100.6,5.6,68,96,2278,2,0
rasmukr01w,7,156.75,5.0,122,142,3610,2,0
reddja01w,7,108.33333333333331,6.666666666666667,33,63,1158,1,0
reedbr01w,7,217.33333333333331,5.333333333333333,44,52,1188,1,0
reidtr01w,7,96.0,6.25,47,83,1331,1,0
rileyru01w,7,319.0,3.4,93,73,4205,4,0
rizzoje01w,7,129.75,3.5,76,54,2133,3,0
robinas01w,7,98.5,5.0,33,35,789,0,0
robincr01w,7,314.3333333333333,2.5,111,87,5707,5,0
robinre01w,7,3.0,4.0,14,18,5,1,0
rolanja01w,7,17.0,3.0,16,16,173,1,0
salesny01w,7,426.1666666666667,3.0,107,91,6352,4,0
sampsch01w,7,109.0,8.0,6,26,280,0,0
samsh01w,7,351.3333333333333,4.5,92,106,6123,3,0
sanchis01w,7,10.0,3.0,17,17,62,1,0
sanfona01w,7,119.66666666666669,5.333333333333333,42,60,1080,1,0
santoal01w,7,4.5,7.5,19,45,73,0,0
santoke01w,7,48.5,7.5,19,45,322,0,0
sarenra01w,7,55.0,4.0,20,12,142,1,0
sauerpa01w,7,10.0,3.0,60,36,77,2,0
saundja01w,7,68.5,6.0,24,40,555,0,0
saureau01w,7,42.5,5.5,27,37,620,1,0
schumke01w,7,173.8,4.6,78,88,2329,2,0
schwege01w,7,92.66666666666669,6.0,40,58,1050,1,0
scottol01w,7,184.6,4.2,81,83,2687,2,0
shakiel01w,7,39.66666666666666,2.6666666666666665,64,32,358,3,0
sharpkb01w,7,70.5,4.0,34,34,638,1,0
slaisma01w,7,4.0,5.0,14,18,7,0,0
slauggw01w,7,3.0,3.0,18,16,7,1,0
slavtge01w,7,-2.0,7.0,8,26,12,0,0
smithai01w,7,105.5,5.5,26,42,825,1,0
smithch02w,7,227.16666666666663,4.333333333333333,94,104,4683,3,0
smithch03w,7,61.333333333333336,7.666666666666667,24,74,1122,0,0
smithje01w,7,-1.0,3.0,18,16,7,1,0
smithka01w,7,374.4285714285714,5.285714285714286,103,129,6710,3,1
smithla01w,7,7.0,3.0,16,16,12,1,0
smithta01w,7,397.6666666666667,4.0,98,100,5857,4,0
snellbe01w,7,78.0,5.0,16,18,226,0,0
snowmi01w,7,389.25,3.25,76,58,3364,3,0
spornra01w,7,68.0,7.0,10,22,265,0,0
stafftr01w,7,61.0,5.0,34,30,403,1,0
staleda01w,7,271.42857142857144,4.285714285714286,103,129,6446,4,1
starbka01w,7,57.4,4.2,89,73,1041,3,0
stedika01w,7,92.5,5.5,31,33,702,1,0
stepama01w,7,247.66666666666663,4.666666666666667,49,49,1394,1,0
stephst01w,7,8.0,3.0,17,17,36,1,0
stevema01w,7,24.0,4.5,29,39,312,1,0
stileja01w,7,177.5,6.0,27,37,1405,0,0
stinsan01w,7,352.3333333333333,4.166666666666667,94,104,4958,4,0
stiresh01w,7,29.666666666666668,6.666666666666667,37,59,340,0,0
stockta01w,7,2.0,8.0,10,22,11,0,0
streiju01w,7,235.66666666666663,5.0,40,58,1817,1,0
summela01w,7,14.0,1.0,26,8,43,1,0
sun-mju01w,7,22.0,5.0,18,16,118,0,0
suttota01w,7,361.8,3.8,76,90,4208,3,0
swoopsh01w,7,569.0,3.0,103,63,5623,4,1
tateso01w,7,28.0,6.0,15,17,94,0,0
tauradi01w,7,499.5,5.0,33,35,2219,0,1
tayloli01w,7,5.0,5.0,17,17,26,0,0
taylope01w,7,389.6,4.4,82,84,4295,2,0
teaslni01w,7,348.0,1.75,91,43,3727,4,0
thomach01w,7,206.5,2.5,42,26,1067,2,0
thomala01w,7,310.0,6.0,33,69,2321,1,0
thomast01w,7,83.25,5.0,117,149,2303,3,0
thompal01w,7,142.4,4.2,75,89,1998,3,0
thompti01w,7,405.8333333333333,3.1666666666666665,122,76,5597,5,1
thorner01w,7,31.0,3.6666666666666665,52,50,540,2,0
threaro01w,7,82.0,8.0,6,26,377,0,0
tilliic01w,7,85.0,3.0,17,17,287,1,0
timmsmi01w,7,90.5,4.5,33,31,584,1,0
torniel01w,7,318.5,6.0,24,40,1646,0,0
torrele01w,7,-2.0,3.0,20,12,8,1,0
traviti01w,7,188.0,8.0,8,24,574,0,0
tremich01w,7,74.0,7.0,9,23,318,0,0
tuvicsl01w,7,122.25,6.0,49,83,1701,0,0
