playerID,year,team,minutes,games_played,total_points,total_rebounds,total_assists,points_per_min,assists_per_min,rebounds_per_min,steals_per_min,blocks_per_min,turnovers_per_min,FG%,FT%,Three%,Three Rate,team_wins,team_losses,conference_rank,playoff_made,confID,MVP_winner
abrossv01w,2,MIN,846,26,343,174,53,0.4054373522458628,0.0626477541371158,0.2056737588652482,0.0496453900709219,0.0106382978723404,0.1004728132387706,0.3890784982935154,0.7272727272727273,0.25,0.2593856655290102,12,20,6,0,1,0
abrossv01w,3,MIN,805,27,314,146,60,0.3900621118012422,0.0745341614906832,0.1813664596273292,0.0521739130434782,0.0124223602484472,0.1142857142857142,0.3765822784810126,0.4827586206896552,0.3333333333333333,0.189873417721519,10,22,8,0,1,0
abrossv01w,4,MIN,792,30,318,141,82,0.4015151515151515,0.1035353535353535,0.178030303030303,0.0555555555555555,0.0138888888888888,0.1136363636363636,0.3929824561403509,0.7040816326530612,0.3048780487804878,0.287719298245614,18,16,4,1,1,0
abrossv01w,5,MIN,462,22,146,74,45,0.316017316017316,0.0974025974025974,0.1601731601731601,0.0649350649350649,0.0043290043290043,0.093073593073593,0.3525179856115107,0.6086956521739131,0.3773584905660377,0.381294964028777,18,16,3,1,1,0
abrossv01w,6,MIN,777,31,304,107,60,0.3912483912483912,0.0772200772200772,0.1377091377091377,0.0617760617760617,0.0077220077220077,0.1029601029601029,0.394927536231884,0.726027397260274,0.4024390243902439,0.2971014492753623,14,20,6,0,1,0
abrossv01w,7,MIN,724,34,263,106,54,0.3632596685082873,0.074585635359116,0.1464088397790055,0.0469613259668508,0.0013812154696132,0.0842541436464088,0.4107883817427386,0.6612903225806451,0.3692307692307692,0.2697095435684647,10,24,7,0,1,0
abrossv01w,8,MIN,843,34,345,150,85,0.4092526690391459,0.1008303677342823,0.1779359430604982,0.0521945432977461,0.0047449584816132,0.0806642941874258,0.4429530201342282,0.8372093023255814,0.4455445544554455,0.3389261744966443,10,24,6,0,1,0
abrossv01w,9,CON,107,6,34,20,12,0.3177570093457944,0.1121495327102803,0.1869158878504672,0.0747663551401869,0.0,0.102803738317757,0.3055555555555556,0.8333333333333334,0.1666666666666666,0.3333333333333333,21,13,2,1,0,0
adamsjo01w,4,MIN,96,10,33,23,4,0.34375,0.0416666666666666,0.2395833333333333,0.0208333333333333,0.03125,0.1041666666666666,0.3939393939393939,1.0,0.4166666666666667,0.3636363636363636,18,16,4,1,1,0
aguilel01w,3,UTA,141,28,43,11,16,0.3049645390070922,0.1134751773049645,0.0780141843971631,0.0212765957446808,0.0141843971631205,0.0780141843971631,0.4242424242424242,0.5714285714285714,0.5238095238095238,0.6363636363636364,20,12,3,1,1,0
ajavoma01w,9,HOU,604,34,273,60,59,0.4519867549668874,0.097682119205298,0.0993377483443708,0.0513245033112582,0.009933774834437,0.0910596026490066,0.3309859154929577,0.7912087912087912,0.1911764705882352,0.2394366197183098,17,17,5,0,1,0
ajavoma01w,10,WAS,587,34,272,64,37,0.4633730834752981,0.0630323679727427,0.1090289608177172,0.0630323679727427,0.0068143100511073,0.0851788756388415,0.3359683794466403,0.6727272727272727,0.3414634146341463,0.3241106719367589,16,18,4,1,0,0
aldrima01w,1,WAS,272,29,63,24,28,0.2316176470588235,0.1029411764705882,0.088235294117647,0.0330882352941176,0.0147058823529411,0.0992647058823529,0.4629629629629629,0.3181818181818182,0.5,0.2222222222222222,14,18,4,1,0,0
aldrima01w,2,WAS,35,5,7,2,2,0.2,0.0571428571428571,0.0571428571428571,0.0,0.0,0.1142857142857142,0.3333333333333333,1.0,0.0,0.3333333333333333,10,22,8,0,0,0
alhalta01w,2,ORL,252,26,49,38,14,0.1944444444444444,0.0555555555555555,0.1507936507936507,0.0436507936507936,0.0,0.1111111111111111,0.3275862068965517,0.5,0.3636363636363636,0.1896551724137931,13,19,5,0,0,0
allench01w,9,SAC,49,6,16,6,3,0.3265306122448979,0.0612244897959183,0.1224489795918367,0.0204081632653061,0.0,0.1224489795918367,0.4375,0.0,0.3333333333333333,0.375,18,16,4,1,1,0
amachma01w,2,NYL,3,2,1,1,0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.5,0.0,0.0,21,11,2,1,0,0
amachma01w,4,SEA,47,7,8,14,0,0.1702127659574468,0.0,0.2978723404255319,0.1063829787234042,0.0425531914893617,0.1914893617021276,0.3,0.5,0.0,0.0,18,16,5,0,1,0
amachma01w,6,WAS,3,3,2,0,0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16,18,5,0,0,0
ambermo01w,3,SAC,4,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,18,6,0,1,0
anderam01w,7,CON,1,1,0,2,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,8,1,1,0,0
anderam01w,7,NYL,9,3,0,2,0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,11,23,5,0,0,0
anderch01w,4,SAC,171,26,42,24,5,0.2456140350877192,0.0292397660818713,0.1403508771929824,0.0292397660818713,0.0292397660818713,0.0994152046783625,0.4318181818181818,0.3333333333333333,0.0,0.0,19,15,3,1,1,0
anderch01w,5,SAC,231,30,77,34,5,0.3333333333333333,0.0216450216450216,0.1471861471861472,0.0129870129870129,0.0259740259740259,0.1082251082251082,0.390625,0.7297297297297297,0.0,0.0,18,16,4,1,1,0
