playerID,tmID,minutes,Game_Score_Total,Game_Score_Per_Minute,Team_Weighted_Score,Finals_Probability,Conference,year,Conference,Finals_MVP
abrossv01w,MIN,846,210.90000000000003,0.249290780141844,0.25512482996917796,0.1239331910819922,WE,3.0,WE,0
aldrima01w,WAS,35,-1.3000000000000007,-0.037142857142857165,0.22353068810432217,0.11689469013567147,EA,3.0,EA,0
alhalta01w,ORL,252,15.400000000000006,0.06111111111111114,0.26014306653983066,0.13604102153492578,EA,3.0,EA,0
amachma01w,NYL,3,0.19999999999999973,0.06666666666666658,0.26746458808330037,0.13986978884828058,EA,3.0,EA,0
anderke01w,CHA,102,2.099999999999998,0.020588235294117626,0.23354155487487974,0.12212984231570535,EA,3.0,EA,0
andrame01w,CLE,893,120.19999999999999,0.13460246360582306,0.24511945800869286,0.12818447137234867,EA,3.0,EA,0
arcaija01w,HOU,1154,388.00000000000006,0.33622183708838826,0.25227489924465857,0.12254876680194476,WE,3.0,WE,0
askamma01w,MIA,431,65.50000000000001,0.15197215777262185,0.23510801190208194,0.1229490162302964,EA,3.0,EA,0
azzije01w,UTA,1205,251.5,0.2087136929460581,0.26355286756367835,0.12802731862642455,WE,3.0,WE,0
badertr01w,CLE,114,16.5,0.14473684210526316,0.24511945800869286,0.12818447137234867,EA,3.0,EA,0
baranel01w,MIA,984,297.29999999999995,0.30213414634146335,0.23510801190208194,0.1229490162302964,EA,3.0,EA,0
barksla01w,POR,35,0.20000000000000018,0.0057142857142857195,0.2108065276350168,0.10240448048070477,WE,3.0,WE,0
barnead01w,CLE,3,2.0,0.6666666666666666,0.24511945800869286,0.12818447137234867,EA,3.0,EA,0
barnequ01w,SEA,229,42.6,0.18602620087336244,0.21922843646199597,0.10649563082485286,WE,3.0,WE,0
bauerca01w,WAS,102,5.699999999999999,0.055882352941176466,0.22353068810432217,0.11689469013567147,EA,3.0,EA,0
beviltu01w,POR,788,157.39999999999995,0.19974619289340095,0.2108065276350168,0.10240448048070477,WE,3.0,WE,0
blackde01w,MIA,946,218.5999999999999,0.23107822410147982,0.23510801190208194,0.1229490162302964,EA,3.0,EA,0
blodgci01w,SAC,72,19.500000000000007,0.2708333333333334,0.2982774658145428,0.14489565037911875,WE,3.0,WE,0
boltoru01w,SAC,582,141.29999999999998,0.24278350515463915,0.2982774658145428,0.14489565037911875,WE,3.0,WE,0
boydca01w,DET,230,41.70000000000002,0.18130434782608704,0.2083694306912523,0.10896615691100375,EA,3.0,EA,0
brazian01w,IND,341,87.0,0.25513196480938416,0.2389630806548572,0.12496501265176789,EA,3.0,EA,0
bristre01w,CHA,5,-0.30000000000000004,-0.06000000000000001,0.23354155487487974,0.12212984231570535,EA,3.0,EA,0
brondsa01w,MIA,850,211.30000000000004,0.2485882352941177,0.23510801190208194,0.1229490162302964,EA,3.0,EA,0
browned01w,DET,800,143.70000000000005,0.17962500000000006,0.2083694306912523,0.10896615691100375,EA,3.0,EA,0
brownru01w,CLE,760,216.0,0.28421052631578947,0.24511945800869286,0.12818447137234867,EA,3.0,EA,0
brumfma01w,MIA,247,27.099999999999994,0.10971659919028338,0.23510801190208194,0.1229490162302964,EA,3.0,EA,0
bullevi01w,WAS,1073,247.60000000000002,0.23075489282385836,0.22353068810432217,0.11689469013567147,EA,3.0,EA,0
burgean01w,WAS,731,84.30000000000004,0.11532147742818064,0.22353068810432217,0.11689469013567147,EA,3.0,EA,0
burraal01w,POR,272,58.89999999999998,0.21654411764705875,0.2108065276350168,0.10240448048070477,WE,3.0,WE,0
burseja01w,MIN,169,27.60000000000001,0.16331360946745568,0.25512482996917796,0.1239331910819922,WE,3.0,WE,0
byearla01w,LAS,739,262.2,0.3548037889039242,0.3168584610368443,0.15392182800227397,WE,3.0,WE,0
campbed01w,SAC,854,147.0,0.1721311475409836,0.2982774658145428,0.14489565037911875,WE,3.0,WE,0
cantydo01w,DET,625,123.70000000000002,0.19792000000000004,0.2083694306912523,0.10896615691100375,EA,3.0,EA,0
clearmi01w,PHO,49,6.1,0.12448979591836734,0.24244393672127362,0.11777313380268803,WE,3.0,WE,0
clinest01w,SAC,75,3.5,0.04666666666666667,0.2982774658145428,0.14489565037911875,WE,3.0,WE,0
colleka01w,MIA,121,1.0000000000000018,0.00826446280991737,0.23510801190208194,0.1229490162302964,EA,3.0,EA,0
consuca01w,UTA,50,-1.6999999999999993,-0.03399999999999999,0.26355286756367835,0.12802731862642455,WE,3.0,WE,0
coopeca01w,NYL,51,22.4,0.4392156862745098,0.26746458808330037,0.13986978884828058,EA,3.0,EA,0
crawlsy01w,POR,921,219.0,0.23778501628664495,0.2108065276350168,0.10240448048070477,WE,3.0,WE,0
daleygr01w,NYL,66,20.2,0.30606060606060603,0.26746458808330037,0.13986978884828058,EA,3.0,EA,0
darlihe01w,CLE,778,146.1,0.1877892030848329,0.24511945800869286,0.12818447137234867,EA,3.0,EA,0
dickeke01w,UTA,6,-0.6000000000000001,-0.10000000000000002,0.26355286756367835,0.12802731862642455,WE,3.0,WE,0
dixonta01w,LAS,925,212.2,0.22940540540540538,0.3168584610368443,0.15392182800227397,WE,3.0,WE,0
dossaci01w,ORL,65,4.0000000000000036,0.06153846153846159,0.26014306653983066,0.13604102153492578,EA,3.0,EA,0
douglka01w,ORL,439,103.80000000000001,0.2364464692482916,0.26014306653983066,0.13604102153492578,EA,3.0,EA,0
dydekma01w,UTA,970,287.90000000000003,0.29680412371134024,0.26355286756367835,0.12802731862642455,WE,3.0,WE,0
