coachID,year,tmID,lgID,stint,won,lost,post_wins,post_losses
adubari99w,3,NYL,WNBA,0,18,14,4,4
aglerbr99w,3,MIN,WNBA,1,6,13,0,0
brownde01w,3,ORL,WNBA,0,16,16,0,0
chancva99w,3,HOU,WNBA,0,24,8,1,2
coopecy01w,3,PHO,WNBA,1,6,4,0,0
coopemi01w,3,LAS,WNBA,0,25,7,6,0
donovan99w,3,CHA,WNBA,0,18,14,0,2
dunnli99wc,3,SEA,WNBA,0,17,15,0,2
fortnne99w,3,IND,WNBA,0,16,16,1,2
hargrli99w,3,POR,WNBA,0,16,16,0,0
harveca99w,3,UTA,WNBA,0,20,12,2,3
hugheda99w,3,CLE,WNBA,0,10,22,0,0
laimbbi01w,3,DET,WNBA,2,9,13,0,0
mchugma99w,3,SAC,WNBA,0,14,18,0,0
rothsro99w,3,MIA,WNBA,0,15,17,0,0
sharpli99w,3,PHO,WNBA,2,5,17,0,0
stanlma99w,3,WAS,WNBA,0,17,15,3,2
vandehe99w,3,MIN,WNBA,2,4,9,0,0
willigr99w,3,DET,WNBA,1,0,10,0,0
