coachID,year,tmID,lgID,stint,won,lost,post_wins,post_losses
adubari99w,2,NYL,WNBA,0,21,11,3,3
aglerbr99w,2,MIN,WNBA,0,12,20,0,0
allenso99w,2,SAC,WNBA,1,6,6,0,0
chancva99w,2,HOU,WNBA,0,19,13,0,2
coopecy01w,2,PHO,WNBA,0,13,19,0,0
coopemi01w,2,LAS,WNBA,0,28,4,6,1
donovan99w,2,CHA,WNBA,0,18,14,4,4
dunnli99wc,2,SEA,WNBA,0,10,22,0,0
fortnne99w,2,IND,WNBA,0,10,22,0,0
hargrli99w,2,POR,WNBA,0,11,21,0,0
harveca99w,2,UTA,WNBA,2,14,5,0,2
hugheda99w,2,CLE,WNBA,0,22,10,1,2
maherto99w,2,WAS,WNBA,0,10,22,0,0
mchugma99w,2,SAC,WNBA,2,14,6,3,2
peckca99wc,2,ORL,WNBA,0,13,19,0,0
rothsro99w,2,MIA,WNBA,0,20,12,1,2
willifr99w,2,UTA,WNBA,1,5,8,0,0
willigr99w,2,DET,WNBA,0,10,22,0,0
