playerID,year,tmID,Team_Weighted_Avg_Per_Minute_Previous_Year,Num_Players_Previous_Year,num_teammates,avg_teammate_total,max_teammate_total,min_teammate_total,std_teammate_total,avg_teammate_per_game,max_teammate_per_game,avg_teammate_per_minute,max_teammate_per_minute,top3_avg_total
schumke01w,2,IND,0.2356862535521585,13,12,138.49,282.90000000000003,20.400000000000006,81.78305998188134,4.527661933373141,8.840625000000001,0.20474192171567224,0.27899408284023675,245.86666666666667
mccrani01w,2,WAS,0.2777433315849249,14,13,155.11428571428567,375.9,14.600000000000001,143.32913599296478,4.927208986384203,11.746875,0.2015294442927806,0.33236074270557026,316.5
smithka01w,2,MIN,0.305028432039828,12,11,88.26666666666665,332.79999999999995,13.8,111.70896213922238,2.855089285714286,10.399999999999999,0.1535690020151921,0.33821138211382107,157.16666666666663
johnsja01w,2,ORL,0.2691378815162276,12,11,156.51250000000002,372.50000000000006,13.999999999999993,135.38079108112052,5.062151442307693,11.640625000000002,0.19285126545031747,0.3392531876138434,322.00000000000006
darlihe01w,2,CLE,0.24252890748123246,15,14,111.50833333333334,266.59999999999997,6.299999999999997,89.19918215556814,4.092598214285714,8.331249999999999,0.22298271649318277,0.34999999999999987,230.03333333333333
campbed01w,2,SAC,0.32492841234249925,13,12,192.45999999999998,515.8000000000001,17.10000000000001,145.25212700680154,6.282236219374804,16.118750000000002,0.2558791210128003,0.502729044834308,351.0
farriba01w,2,DET,0.2538947671566912,12,11,192.15,267.70000000000005,105.69999999999999,64.08387082566097,6.189305555555556,8.365625000000001,0.23864787607017493,0.2929804372842348,246.4333333333333
dickeke01w,2,UTA,0.30845811690980796,12,11,190.9375,449.0,55.30000000000001,132.81367528891744,7.031258006581387,15.482758620689655,0.2555307003499173,0.43214629451395575,334.09999999999997
mcgheca01w,2,ORL,0.2691378815162276,12,11,171.37142857142862,372.50000000000006,13.999999999999993,138.4916471363187,5.550940934065935,11.640625000000002,0.20201909328775783,0.3392531876138434,322.00000000000006
vealkr01w,2,PHO,0.300719414094783,18,17,125.92727272727274,485.4000000000001,-7.600000000000001,137.28743629804316,4.398505560299916,15.168750000000003,0.18302186079480148,0.44532110091743127,298.03333333333336
rizzoje01w,2,CLE,0.24252890748123246,15,14,114.90833333333335,266.59999999999997,6.299999999999997,87.47066611473561,4.198848214285714,8.331249999999999,0.22714283233643495,0.34999999999999987,230.03333333333333
stepama01w,2,PHO,0.300719414094783,18,17,136.13,485.4000000000001,-7.600000000000001,139.9556076046973,4.679022782996574,15.168750000000003,0.18726522334486986,0.44532110091743127,298.03333333333336
mcculda01w,2,IND,0.2356862535521585,13,12,141.5,282.90000000000003,20.400000000000006,85.6798174082503,4.603915558154064,8.840625000000001,0.20034677461585412,0.27899408284023675,245.86666666666667
santoke01w,2,DET,0.2538947671566912,12,11,168.0285714285714,267.70000000000005,23.299999999999997,83.7324602406927,5.542874149659864,8.365625000000001,0.23015971795025986,0.2929804372842348,246.4333333333333
johnssh01w,2,ORL,0.2691378815162276,12,11,134.24285714285716,372.50000000000006,13.999999999999993,130.30250361746545,4.390673076923077,11.640625000000002,0.18076683572398627,0.3392531876138434,265.50000000000006
wautean01w,2,CLE,0.24252890748123246,15,14,106.55833333333335,266.59999999999997,6.299999999999997,88.67786700875378,3.937910714285715,8.331249999999999,0.2156388424285549,0.34999999999999987,230.03333333333333
melvich01w,2,CLE,0.24252890748123246,15,14,96.68333333333334,223.70000000000005,6.299999999999997,75.99745427022907,3.629316964285714,7.871428571428573,0.21170112229951119,0.34999999999999987,206.6666666666667
thompti01w,2,HOU,0.27983107729305845,11,10,78.2,202.10000000000005,12.299999999999997,64.16385275215323,2.9464169901275308,6.315625000000002,0.19707713127469306,0.3459999999999999,124.23333333333333
spornra01w,2,DET,0.2538947671566912,12,11,168.0285714285714,267.70000000000005,23.299999999999997,83.7324602406927,5.542874149659864,8.365625000000001,0.23015971795025986,0.2929804372842348,246.4333333333333
barnequ01w,2,SEA,0.15213228344172225,13,12,70.85,143.7,-1.6,42.14373618937931,2.380502508361204,4.490625,0.11254886112763166,0.197984496124031,122.26666666666665
saureau01w,2,WAS,0.2777433315849249,14,13,172.4375,375.9,14.600000000000001,141.6897750148189,5.458573488086177,11.746875,0.21143625610799946,0.33236074270557026,322.7333333333333
cantydo01w,2,DET,0.2538947671566912,12,11,162.9,267.70000000000005,23.299999999999997,89.41772754884796,5.2833531746031746,8.365625000000001,0.22625776618006507,0.2929804372842348,246.4333333333333
marcimi01w,2,SEA,0.15213228344172225,13,12,69.62,143.7,-1.6,41.58506462661805,2.3504420244902358,4.490625,0.10657073204169323,0.197984496124031,122.19999999999999
pavlimi01w,2,UTA,0.30845811690980796,12,11,178.76666666666668,449.0,55.30000000000001,129.8636378839144,6.532646005850121,15.482758620689655,0.23857259050628976,0.43214629451395575,334.09999999999997
rileyru01w,2,MIA,0.18960360657909547,12,11,128.5,214.29999999999995,57.000000000000014,51.43301468901078,4.012729667388368,6.91290322580645,0.17379375419779594,0.23705752212389375,185.06666666666663
hillec01w,2,PHO,0.300719414094783,18,17,139.28,485.4000000000001,1.700000000000001,137.00866979866643,4.8675868855606765,15.168750000000003,0.2048921219916525,0.44532110091743127,298.03333333333336
feastal01w,2,CHA,0.25626444944260485,12,11,148.26250000000002,406.3,52.0,111.88752094737823,5.282203287217278,12.696875,0.2129149622557419,0.3617987533392698,269.36666666666673
